acc:gAyatryazwottaraSatanAman,5934:gAyatryazwottaraSatanAman:n:wot,zwo
acc:girijAkamalAvivAda,5953:girijAkamalAvivAda:n:jAk
acc:girISasvAmimaNgalASAsana,5967:girISasvAmimaNgalASAsana:n:rIS
bhs:guRakesarISvara,5745:guRakesarISvara:n:rIS
bhs:guRapraBAnodgata,5756:guRapraBAnodgata:n:Ano
acc:gurudaSakaBujaNgastotra,6068:gurudaSakaBujaNgastotra:n:kaB
acc:gurvazwottaraSatanAman,6133:gurvazwottaraSatanAman:n:wot,zwo
inm:guhyakADipa,4288:guhyakADipa:n:kAD
acc:guhyakAlyazwottaraSatanAman,6137:guhyakAlyazwottaraSatanAman:n:wot,zwo
acc:gopAlanandavARIvilAsa,6335:gopAlanandavARIvilAsa:n:RIv
sch:gopucCA,12535:gopucCA:n:opu
acc:gopuravimAnAdilakzaRa,6404:gopuravimAnAdilakzaRa:n:opu
acc:gopurImAhAtmya,6405:gopurImAhAtmya:n:opu
skd:gorARwikA,11422:gorARwikA:n:gor
pui:gOtuprasTa,4412:gOtuprasTa:n:tup
acc:gOrANgaSatanAman,43219:gOrANgaSatanAman:n:gaS
acc:gOrItantre,6678:gOrItantre:n:OrI
acc:gOrImAyUramAhAtmya,6687:gOrImAyUramAhAtmya:n:OrI
acc:gOrISvarastotra,6691:gOrISvarastotra:n:rIS,OrI
acc:gOryazwottaraSatanAman,6693:gOryazwottaraSatanAman:n:wot,zwo
ieg:grAmAzwakulADikaraRa,2086:grAmAzwakulADikaraRa:n:lAD
sch:GawaSatAyate,28653:GawaSatAyate:n:waS
ieg:GawaSAsulu,1970:GawaSAsulu:n:waS
mw:GritAhuta,70054:GritAhuta:n:tAh
pui:cakreSvari,4535:cakreSvari:n:reS
bur:cakzmAye,6336:cakzmAye:n:Aye
acc:caRqikAzwottaraSatanAman,6908:caRqikAzwottaraSatanAman:n:wot,zwo
acc:caRqikAzwottaraSatanAmAvalI,6909:caRqikAzwottaraSatanAmAvalI:n:wot,zwo
mw:caturaDyAyI,71145:caturaDyAyI:n:AyI
mw:caturADyAyI,71182:caturADyAyI:n:AyI
pwg:caturTAraRyaka,73471:caturTAraRyaka:n:rTA
bur:caturmahArAjAs,6391:caturmahArAjAs:n:jAs
acc:catuvargasaMgraha,7013:catuvargasaMgraha:n:tuv
bur:catuvirDa,6398:catuvirDa:n:tuv
acc:catuvedatAtparyasaMgraha,7027:catuvedatAtparyasaMgraha:n:tuv
acc:candrAzwottaraSatanAman,7136:candrAzwottaraSatanAman:n:wot,zwo
skd:candrikApAyI,12187:candrikApAyI:n:AyI
vcp:candreSvara,19360:candreSvara:n:reS
sch:cAtUrAtrika,13203:cAtUrAtrika:n:AtU
vcp:citreSvara,19868:citreSvara:n:reS
acc:cidAnandakelivilAsa,7395:cidAnandakelivilAsa:n:liv
acc:cidAnandabrahmavilAsa,39939:cidAnandabrahmavilAsa:n:dab
mw:cUqAvalambin,74772:cUqAvalambin:n:qAv
pw:CattrinyAyena,40877:CattrinyAyena:n:Aye
acc:CAgAdipaYcakadAna,7604:CAgAdipaYcakadAna:n:gAd
acc:CAleyasmfti,7603:CAleyasmfti:n:CAl
mw:CedyakADyAya,76055:CedyakADyAya:n:kAD
acc:jagadrakzAkarakavaca,43464:jagadrakzAkarakavaca:n:zAk
acc:jaganmAtfBaktiprayoga,43479:jaganmAtfBaktiprayoga:n:fBa
acc:jaNgamaSivapUjAkrama,7732:jaNgamaSivapUjAkrama:n:jAk
acc:jawAvaboDinI,7744:jawAvaboDinI:n:wAv
sch:janakaBuvan,13652:janakaBuvan:n:kaB
mw:janArTaSabda,76837:janArTaSabda:n:TaS
ieg:jayareKapatrikA,2357:jayareKapatrikA:n:Kap
bhs:jalAgamA,6527:jalAgamA:n:lAg
mw:jalADyakza,78167:jalADyakza:n:lAD
acc:jAnakyAnandaboDana,8073:jAnakyAnandaboDana:n:dab
skd:jAyI,13593:jAyI:n:AyI
bhs:jAyendra,6597:jAyendra:n:Aye
