pui:akArAdikzakArAntavarRamUrti,11:akArAdikzakArAntavarRamUrti:n:rti
ccs:vihUt,23210:vihUt:n:ihU
acc:SatapaTabrAhmaRAnuvAkasaMKyA,47070:SatapaTabrAhmaRAnuvAkasaMKyA:n:Tab
sch:SatamaKIBAva,24767:SatamaKIBAva:n:KIB
mw:SatayUDa,212299:SatayUDa:n:yUD
mw72:SarDitvA,46224:SarDitvA:n:rDi
pui:SalAmuKIyaka,14206:SalAmuKIyaka:n:KIy
mw:SastrAmayArti,214625:SastrAmayArti:n:rti
mw:SAkadvIpIya,214683:SAkadvIpIya:n:IpI
ieg:SAsanArDika,5340:SAsanArDika:n:rDi
acc:SAstrEkyavAda,37735:SAstrEkyavAda:n:rEk
acc:SirOpanizad,25043:SirOpanizad:n:irO
mw:SivAKya,217869:SivAKya:n:vAK
skd:SIzaMGAtI,35901:SIzaMGAtI:n:SIz
inm:SukapraSnABigamana,2811:SukapraSnABigamana:n:SnA
cae:SuSUzaka,32905:SuSUzaka:n:SUz
cae:SuSUzA,32907:SuSUzA:n:SUz
cae:SuSUzita,32908:SuSUzita:n:SUz
cae:SuSUzin,32909:SuSUzin:n:SUz
mw:SfNgAgrapraharaRABimuKa,220576:SfNgAgrapraharaRABimuKa:n:gAg
mw:zoqaSartuniSA,225449:zoqaSartuniSA:n:rtu
bur:saMsanIzyande,18297:saMsanIzyande:n:Izy
pw:saMsTAtos,117043:saMsTAtos:n:tos
sch:sakalartucakravartin,25568:sakalartucakravartin:n:rtu,rti
mw72:saNkIrtita,48430:saNkIrtita:n:rti
bur:saNkIrye,17279:saNkIrye:n:rye
bur:saNgfBayAmi,17320:saNgfBayAmi:n:gfB
mw72:saNgfBita,48546:saNgfBita:n:gfB
ccs:saddftta,26045:saddftta:n:ddf
ccs:saddftti,26046:saddftti:n:ddf
bur:sannivarte,17544:sannivarte:n:rte
ccs:saptajihU,26240:saptajihU:n:ihU
mw:saptaSatabIjamantraviDAna,232633.40:saptaSatabIjamantraviDAna:n:abI
bur:samanuvarte,17623:samanuvarte:n:rte
acc:samUrtiSAlihotra,27301:samUrtiSAlihotra:n:rti
mw:samBftOzaDa,237053:samBftOzaDa:n:ftO
ieg:sarvadeSADikArin,5310:sarvadeSADikArin:n:SAD
bhs:sarvArtuka,16545:sarvArtuka:n:rtu
bhs:sarvotuka,16555:sarvotuka:n:rvo
ieg:sarvotpattisahita,7088:sarvotpattisahita:n:rvo
bhs:sarvodaya,16556:sarvodaya:n:rvo
pwg:sarvoddAtta,107205:sarvoddAtta:n:rvo
pui:sarvonmAdana,15635:sarvonmAdana:n:rvo
pui:sarvonmAdanaSaktikA,15636:sarvonmAdanaSaktikA:n:rvo
ieg:sarvopadravavarjita,7085:sarvopadravavarjita:n:rvo
ieg:sarvoparikarakarAdAnasameta,7087:sarvoparikarakarAdAnasameta:n:rvo
ieg:sarvoparikarAdAnasahita,7086:sarvoparikarAdAnasahita:n:rvo
bhs:sahacittotpAdaDarmacakrapravartin,16571:sahacittotpAdaDarmacakrapravartin:n:rti
sch:sAMnahya,26401:sAMnahya:n:Mna
ccs:sukrIrti,27618:sukrIrti:n:rti
bhs:suparikIrtitanAmaDeyaSrI,16989:suparikIrtitanAmaDeyaSrI:n:rti
bur:susyUzAmi,18895:susyUzAmi:n:usy
pui:suhotri,16632:suhotri:n:uho
acc:sOdaRqopADyAya,47976:sOdaRqopADyAya:n:qop
ieg:stratega,5705:stratega:n:teg
mw72:sparDitvA,53320:sparDitvA:n:rDi
mw72:sparDizyamARa,53322:sparDizyamARa:n:rDi
pw:hantos,133499:hantos:n:tos
pui:hAramUrtikas,17340:hAramUrtikas:n:rti
mw:himavacCiras,263036.25:himavacCiras:n:Cir
