mw:manaHSilAcandanaDAvana,156737:manaHSilAcandanaDAvana:n:aHS,HSi
sch:masfRIkfta,21337:masfRIkfta:n:fRI
acc:mahizImardinIjapa,45610:mahizImardinIjapa:n:nIj
acc:mAnasapUjanAryAdviSatI,35708:mAnasapUjanAryAdviSatI:n:Adv
ieg:mAmUlAdAya,3373:mAmUlAdAya:n:AmU
vcp:mudgaparRo,38393:mudgaparRo:n:rRo
acc:mfttikASOcaviDAna,18160:mfttikASOcaviDAna:n:ASO
pui:mEtrAyaRAvara,11070:mEtrAyaRAvara:n:RAv
mw:yaTArhakftapUja,169919.26:yaTArhakftapUja:n:TAr
mw:yaSodAgarBasamBUtA,170903:yaSodAgarBasamBUtA:n:Sod
mw:yuvaKalatI,172166:yuvaKalatI:n:vaK
sch:raRAtkaraRa,22402:raRAtkaraRa:n:Atk
bhs:ratnakaraRqasUtra,12583:ratnakaraRqasUtra:n:qas
mw:rasABivyaYjanA,175753:rasABivyaYjanA:n:sAB
pw:rasABivyaYjanI,93047:rasABivyaYjanI:n:sAB
acc:rahasyatrayasAragATArTavarRana,36226:rahasyatrayasAragATArTavarRana:n:TAr
ieg:rAjaprAsAdacEtyaka,4763:rAjaprAsAdacEtyaka:n:acE
ieg:rAjaveSyABujaNga,4789:rAjaveSyABujaNga:n:ABu
acc:rAmAnandaSarmantripAWin,36428:rAmAnandaSarmantripAWin:n:AWi
inm:reRukAyAstIrTa,9061:reRukAyAstIrTa:n:Ruk
sch:lakzaRAvatI,22781:lakzaRAvatI:n:RAv
cae:lakzADikfta,26306:lakzADikfta:n:zAD
mw:lakzADISa,180373:lakzADISa:n:zAD
mw:lokarakzADirAja,183381.1:lokarakzADirAja:n:zAD
sch:loBizWatA,23011:loBizWatA:n:Wat
pui:lohaganDI,12022:lohaganDI:n:hag
pui:vaYjuli,12119:vaYjuli:n:jul
ieg:vaYjulI,6399:vaYjulI:n:jul
pw:vaRwApay,97699:vaRwApay:n:wAp
pw:varaparRaKya,98409:varaparRaKya:n:RaK
sch:varRottara,23262:varRottara:n:rRo
bhs:valikAsaMnAha,13388:valikAsaMnAha:n:MnA
mw72:vahizwAt,41704:vahizwAt:n:wAt
vcp:vArAhakarRo,41153:vArAhakarRo:n:rRo
bhs:vijawApayati,13730:vijawApayati:n:wAp
mw:vivAhAdikarmaRAmprayoga,200082:vivAhAdikarmaRAmprayoga:n:hAd
acc:vivAhAnukUlya,46716:vivAhAnukUlya:n:Uly
bhs:viSezADigama,14245:viSezADigama:n:zAD
skd:viSvadryaN,33291:viSvadryaN:n:dry
mw:vizvadryak,202255:vizvadryak:n:dry
skd:vizvadryaN,33486:vizvadryaN:n:dry
mw:vihagagADipa,203141:vihagagADipa:n:hag
sch:vfkzADirUQa,24365:vfkzADirUQa:n:zAD
mw:veRukIyA,205533:veRukIyA:n:Ruk
bhs:vezwApayati,14490:vezwApayati:n:wAp
bhs:vErudDya,14561:vErudDya:n:dDy
pw:vyaDikaraRAvacCinnABAvakroqa,108336:vyaDikaraRAvacCinnABAvakroqa:n:RAv
bhs:vyuttizWati,14726:vyuttizWati:n:Wat
acc:vratapratizWatattva,47020:vratapratizWatattva:n:Wat
mw:SakawApaRa,211258:SakawApaRa:n:wAp
pui:SaDIya,14091:SaDIya:n:SaD
pwg:SabdaprakASikAdvirUpakoSa,97827:SabdaprakASikAdvirUpakoSa:n:Adv
mw:SamBunATArcana,213231:SamBunATArcana:n:TAr
bhs:SAdvalA,14917:SAdvalA:n:Adv
pui:SAdvalAyanas,14269:SAdvalAyanas:n:Adv
bhs:SArdUlakarRAvadAna,14961:SArdUlakarRAvadAna:n:RAv
cae:SASisaMniBa,32119:SASisaMniBa:n:Mni
mw:SIkzADyAyopanizad,218195:SIkzADyAyopanizad:n:zAD
bhs:SudDyaDyASayaBUmi,15116:SudDyaDyASayaBUmi:n:dDy
mw:SravaRAvaBAsa,222539:SravaRAvaBAsa:n:RAv
pw:SrAvaRAkarmasarpabaliprayoga,114992:SrAvaRAkarmasarpabaliprayoga:n:pab
acc:SrInivAsamunipaYcASat,38090:SrInivAsamunipaYcASat:n:cAS
acc:zawkarmacandrikA,38158:zawkarmacandrikA:n:wka,awk
inm:zawkarmatuzwa,9877:zawkarmatuzwa:n:wka,awk
acc:zawkarmalakzaRa,47459:zawkarmalakzaRa:n:wka,awk
acc:zawkarmavicAra,38159:zawkarmavicAra:n:wka,awk
acc:zawkarmaSAnti,47460:zawkarmaSAnti:n:wka,awk
mw:zawkArakapraticCandasa,224960.1:zawkArakapraticCandasa:n:awk
wil:saMvidDyatikrama,39713:saMvidDyatikrama:n:dDy
acc:saMskftakaTAvali,38226:saMskftakaTAvali:n:skf
ieg:saKewaviwapa,7012:saKewaviwapa:n:aKe
vcp:sagoca,44829:sagoca:n:goc
yat:saNKyAbat,39632:saNKyAbat:n:yAb
ieg:sajANgalAnUpa,7005:sajANgalAnUpa:n:AnU
vei:satyADivAkacEtraraTi,3446:satyADivAkacEtraraTi:n:acE
sch:saMnAminI,25816:saMnAminI:n:MnA
mw:saMnikzAra,231975:saMnikzAra:n:Mni
mw:saMnitAla,231985:saMnitAla:n:Mni
bhs:saMnidAhayati,15773:saMnidAhayati:n:Mni
stc:saMniDApanIya,21419:saMniDApanIya:n:Mni
acc:saMnipAtanidAnacikitsA,47635:saMnipAtanidAnacikitsA:n:Mni
acc:saMnipAtArRava,47636:saMnipAtArRava:n:Mni
mw:saMnipAtitva,232044.1:saMnipAtitva:n:Mni
bhs:saMnirjinati,15778:saMnirjinati:n:Mni
