::::This is file of previously listed headwords
pwg:yaTOcitya,81459:yaTOcitya:n:TO
mw:rePalakAropAnta,179469.1:rePalakAropAnta:n:eP
mw72:rePitvA,39512:rePitvA:n:eP
acc:laGujEnendravyAkaraRasUtra,36620:laGujEnendravyAkaraRasUtra:n:jE
ieg:valhoqIya,6366:valhoqIya:n:lh
acc:vasizWoktaviDi,21621:vasizWoktaviDi:n:Wo
inm:vasizWopAKyAna,11668:vasizWopAKyAna:n:Wo
sch:vijayajEtrAyuDa,23728:vijayajEtrAyuDa:n:jE
acc:viDisvarUga,46667:viDisvarUga:n:Ug
acc:vizRuzawvadI,23046:vizRuzawvadI:n:wv
mw:SaWodarka,211767:SaWodarka:n:Wo
pui:SabdArTO,14111:SabdArTO:n:TO
mw72:SlizwvA,47532:SlizwvA:n:wv
bur:samUlha,17902:samUlha:n:lh
sch:sudurDafsa,26678:sudurDafsa:n:af
acc:suparRacityasyafnupakzasyavyAKyA,47889:suparRacityasyafnupakzasyavyAKyA:n:af
acc:sUryazawvadI,28695:sUryazawvadI:n:wv
ccs:sfbindra,28328:sfbindra:n:fb
acc:selhoka,28765:selhoka:n:lh
mw:solluRWokti,253241:solluRWokti:n:Wo
ben:sOKaSAyik,16423:sOKaSAyik:n:OK
skd:sTOrI,40726:sTOrI:n:TO
mw:sTOlAzwIvi,256188:sTOlAzwIvi:n:TO
pw:svarmIlha,132705:svarmIlha:n:lh
mw72:hfzwvA,54333:hfzwvA:n:wv
acc:horAzawvaYcASikA,29947:horAzawvaYcASikA:n:wv
mw:uccEHSravyakarRaka,30273.1:uccEHSravyakarRaka:n:EH
acc:catUrASiBUbaliprakaraRa,7037:catUrASiBUbaliprakaraRa:n:Ub
mw:tUbarikA,86405:tUbarikA:n:Ub
pw:tUbarIkA,46591:tUbarIkA:n:Ub
ccs:bAhUbAhAvi,16730:bAhUbAhAvi:n:Ub
acc:adButacaritaISvaraBAzita,301:adButacaritaISvaraBAzita:n:aI
vei:aSvatTva,284:aSvatTva:n:Tv
ieg:assamese,554:assamese:n:ss
acc:AlokapariSizwaMtattvacintAmaRO,2139:AlokapariSizwaMtattvacintAmaRO:n:RO
ieg:erJuna,1826:erJuna:n:Ju
pe:OvvayAr,640:OvvayAr:n:vv
bhs:KikKira,5509:KikKira:n:kK
bhs:KikKirika,5510:KikKirika:n:kK
mw:goKapiNgali,66957.1:goKapiNgali:n:oK
pwg:candraSoKara,119905:candraSoKara:n:oK
skd:jamajO,13226:jamajO:n:jO
ieg:jOhar,2344:jOhar:n:jO
pe:JINku,2988:JINku:n:JI
pe:JIllika,2987:JIllika:n:JI
mw:Jumbari,81142:Jumbari:n:Ju
pw:JumbarI,43781:JumbarI:n:Ju
sch:nissARa,17203:nissARa:n:ss
ccs:paktraloKA,13183:paktraloKA:n:oK
acc:paYcadaSraItantra,40348:paYcadaSraItantra:n:aI
inm:pARqoqrarAjO,8012:pARqoqrarAjO:n:jO
pui:pUrvajO,8261:pUrvajO:n:jO
acc:pfTvImaRqalamOli,13843:pfTvImaRqalamOli:n:Tv
ap90:PuMPuA,21512:PuMPuA:n:uA
acc:BawwaISvarasvAmin,2405:BawwaISvarasvAmin:n:aI
ccs:manmaTaloKa,18180:manmaTaloKa:n:oK
acc:miSraQoQra,8467:miSraQoQra:n:Qr
ccs:rAjaSoKara,20340:rAjaSoKara:n:oK
sch:vivvokinI,24133:vivvokinI:n:vv
mw:SamanIcameQra,212929:SamanIcameQra:n:Qr
mw:SUnARqameQratA,220068:SUnARqameQratA:n:Qr
krm:ssvala,1927:ssvala:n:ss
acc:agnizwomakratukxpti,39278:agnizwomakratukxpti:n:xp,kx
acc:aCApAstotra,39291:aCApAstotra:n:aC
acc:aCAvAkaprayoga,211:aCAvAkaprayoga:n:aC
acc:aCAvAkaSastra,212:aCAvAkaSastra:n:aC
acc:aCidrASvameDa,213:aCidrASvameDa:n:aC
gra:aCidroti,164:aCidroti:n:aC
gra:aCidroDan,165:aCidroDan:n:aC
gra:aCinnapatra,166:aCinnapatra:n:aC
ap:ayaJaka,4303:ayaJaka:n:aJ
ap:ayaJiya,4304:ayaJiya:n:aJ
