pd:adaHsamit,39675:adaHsamit:n:
pd:adaka,39169:adaka:n:
pd:adantatvABAva,39398:adantatvABAva:n:
pd:adantadantin,39384:adantadantin:n:
pd:adarSitavicCedam,39628:adarSitavicCedam:n:
pd:adarSitasaMBrama,39622:adarSitasaMBrama:n:
pd:aduHspfzwA,40252:aduHspfzwA:n:
pd:aduk,40112:aduk:n:
pd:aduk,40112:aduk:n:
pd:aduka,40081:aduka:n:
pd:adfSyanimnA,40485:adfSyanimnA:n:
pd:adfSyanimnonnata,40484:adfSyanimnonnata:n:
pd:adfzwam,40872:adfzwam:n:
pd:adfzwamaNgalavAditra,40871:adfzwamaNgalavAditra:n:
pd:adfzwaviSezalabDa,40953:adfzwaviSezalabDa:n:
pd:adfzwaviSezavat,40952:adfzwaviSezavat:n:
pd:adfzwaviSezABAva,40963:adfzwaviSezABAva:n:
pd:adfzwaviSezABiprAya,40957:adfzwaviSezABiprAya:n:
pd:adfzwaviSezopagraha,40962:adfzwaviSezopagraha:n:
pd:adfzwaviSezopanibadDa,40959:adfzwaviSezopanibadDa:n:
pd:adfzwArTatvakAraRa,41228:adfzwArTatvakAraRa:n:
pd:adfzwArTatvadoza,41218:adfzwArTatvadoza:n:
pd:adfzwArTatvaBaya,41230:adfzwArTatvaBaya:n:
pd:adfzwArTatvANgIkaraRa,41221:adfzwArTatvANgIkaraRa:n:
pd:adfzwArTatvANgIkaraRa,41221:adfzwArTatvANgIkaraRa:n:
pd:adfzwArTatvANgIkAra,41220:adfzwArTatvANgIkAra:n:
pd:adfzwArTatvApAta,41233:adfzwArTatvApAta:n:
pd:adfzwArTatvABAva,41219:adfzwArTatvABAva:n:
pd:adfzwArTatvAvasAya,41234:adfzwArTatvAvasAya:n:
pd:adfzwArTatvopapatti,41225:adfzwArTatvopapatti:n:
pd:adozAkaratA,41569:adozAkaratA:n:
pd:adozAkarasaNga,41568:adozAkarasaNga:n:
pd:adButaBogiBoga,41788:adButaBogiBoga:n:
pd:adButaBrami,41787:adButaBrami:n:
pd:adButarUpasaMpad,41845:adButarUpasaMpad:n:
pd:adButarUpaseva,41843:adButarUpaseva:n:
pd:adButavIragozWI,41881:adButavIragozWI:n:
pd:adButavIralABa,41880:adButavIralABa:n:
pd:adButaSaNkara,41900:adButaSaNkara:n:
pd:adButaSabda,41844:adButaSabda:n:
pd:adButaharzavarza,41967:adButaharzavarza:n:
pd:adButahetu,41959:adButahetu:n:
pd:adyasutyA,42146:adyasutyA:n:
pd:adyastotriya,42138:adyastotriya:n:
pd:advitIyabrahmatattva,42744:advitIyabrahmatattva:n:
pd:advitIyabrahman,42743:advitIyabrahman:n:
pd:aDaHSayy,44409:aDaHSayy:n:
pd:aDaHSayya,44408:aDaHSayya:n:
pd:aDaHSrapaRABAva,44439:aDaHSrapaRABAva:n:
pd:aDaHSrapaRArTatva,44438:aDaHSrapaRArTatva:n:
pd:aDaHsvastika,44542:aDaHsvastika:n:
pd:aDak,43336:aDak:n:
