ap:anuzWA,2189:anuzWA:n:
ap:anuzWiH,2198:anuzWiH:n:
ap:anuzWita,2197:anuzWita:n:
ap:anuzyandaH,2202:anuzyandaH:n:
ap:anuzvaDa,2201:anuzvaDa:n:
ap:anusaMsTA,2217:anusaMsTA:n:
ap:anusaMhita,2211:anusaMhita:n:
ap:anusaMhita,2211:anusaMhita:n:
ap:anusaMcar,2204:anusaMcar:n:
ap:anusaMtatiH,2207:anusaMtatiH:n:
ap:anusaMtan,2206:anusaMtan:n:
ap:anusamayaH,2214:anusamayaH:n:
ap:anusamApanam,2212:anusamApanam:n:
ap:anusamAhAraH,2249:anusamAhAraH:n:
ap:anusami,2213:anusami:n:
ap:anusaraRam,2229:anusaraRam:n:
ap:anusargaH,2219:anusargaH:n:
ap:anusarpaH,2237:anusarpaH:n:
ap:anusavanam,2220:anusavanam:n:
ap:anusAraRA,2233:anusAraRA:n:
ap:anusArataH,2231:anusArataH:n:
ap:anusArataH,2231:anusArataH:n:
ap:anusAryakam,2224:anusAryakam:n:
ap:anusmaraRam,2251:anusmaraRam:n:
ap:anusmf,2250:anusmf:n:
ap:anuharaRam,2260:anuharaRam:n:
ap:anuhavaH,2256:anuhavaH:n:
ap:anuhArya,2261:anuhArya:n:
ap:anuhuNkAraH,2258:anuhuNkAraH:n:
ap:anuhuNkAraH,2258:anuhuNkAraH:n:
ap:anuhuNkf,2257:anuhuNkf:n:
ap:anUkASaH,2265:anUkASaH:n:
ap:anUkta,2089:anUkta:n:
ap:anUkti,2266:anUkti:n:
ap:anUkyam,2264:anUkyam:n:
ap:anUkyam,2264:anUkyam:n:
ap:anUcAna,2090:anUcAna:n:
ap:anekIkf,2303:anekIkf:n:
ap:anejat,2302:anejat:n:
ap:anenaH,2308:anenaH:n:
ap:anenas,2307:anenas:n:
ap:anEkAntyam,2315:anEkAntyam:n:
ap:anEkyam,2314:anEkyam:n:
ap:antarayaH,2346:antarayaH:n:
ap:antarayati,2341:antarayati:n:
ap:antarIpaH,2350:antarIpaH:n:
ap:antarIyam,2338:antarIyam:n:
ap:antargata,2353:antargata:n:
ap:antargam,2352:antargam:n:
ap:antarBAvanA,2363:antarBAvanA:n:
ap:antarBU,2360:antarBU:n:
ap:antarBUta,2364:antarBUta:n:
ap:antarya,2340:antarya:n:
ap:antarhita,2359:antarhita:n:
ap:antavat,2331:antavat:n:
ap:antika,2370:antika:n:
ap:antikA,2369:antikA:n:
ap:antI,2373:antI:n:
ap:ante,2332:ante:n:
ap:antraMDamiH,2377:antraMDamiH:n:
ap:antram,2376:antram:n:
ap:andikA,2381:andikA:n:
ap:anduH,2380:anduH:n:
ap:andolanam,2383:andolanam:n:
ap:andolayati,2382:andolayati:n:
ap:anDaka,2388:anDaka:n:
ap:anDaNkaraRa,2386:anDaNkaraRa:n:
ap:anDas,2392:anDas:n:
ap:anDikA,2389:anDikA:n:
ap:annaMBawwaH,2400:annaMBawwaH:n:
ap:annAda,2398:annAda:n:
ap:anyaNga,2421:anyaNga:n:
ap:anyat,2403:anyat:n:
ap:anyataH,2408:anyataH:n:
ap:anyatama,2404:anyatama:n:
ap:anyaTayati,2412:anyaTayati:n:
ap:anyaTA,2411:anyaTA:n:
ap:anyA,2422:anyA:n:
ap:anyAddakz,2416:anyAddakz:n:
