skd:parivedinI,20591:parivedinI:n:
skd:parizkaRaH,20621:parizkaRaH:n:
skd:parizkandaH,20620:parizkandaH:n:
skd:pavrajitaH,23166:pavrajitaH:n:
skd:paSa,20880:paSa:n:
skd:paSu,20885:paSu:n:
skd:paSuH,20884:paSuH:n:
skd:pAMsuH,20935:pAMsuH:n:
skd:pAH,20918:pAH:n:
skd:pARqavAyanaH,21051:pARqavAyanaH:n:
skd:pARqaveyaH,21049:pARqaveyaH:n:
skd:pARqu,21067:pARqu:n:
skd:pARquH,21053:pARquH:n:
skd:pAttratA,21109:pAttratA:n:
skd:pAtraM,21098:pAtraM:n:
skd:pAtraM,21098:pAtraM:n:
skd:pAtraH,21097:pAtraH:n:
skd:pArak,21230:pArak:n:
skd:pArakaH,21229:pArakaH:n:
skd:pAraRaM,21237:pAraRaM:n:
skd:pAraRaH,21236:pAraRaH:n:
skd:picCabARaH,21461:picCabARaH:n:
skd:picCaladalA,21460:picCaladalA:n:
skd:pItatA,21691:pItatA:n:
skd:pItatuRqaH,21690:pItatuRqaH:n:
skd:pIvarI,21767:pIvarI:n:
skd:pIvA,21764:pIvA:n:
skd:pUrbbaH,22223:pUrbbaH:n:
skd:pUrvva,22222:pUrvva:n:
skd:pUrvvajA,22227:pUrvvajA:n:
skd:pUrvvajAH,22226:pUrvvajAH:n:
skd:pUzA,22266:pUzA:n:
skd:pUzAsuhft,22265:pUzAsuhft:n:
skd:pEtfzvasrIyaH,22412:pEtfzvasrIyaH:n:
skd:pEtfzvasreyaH,22411:pEtfzvasreyaH:n:
skd:potAsaH,22444:potAsaH:n:
skd:potikA,22443:potikA:n:
skd:polikA,22450:polikA:n:
skd:polindaH,22449:polindaH:n:
skd:pOzyaH,22504:pOzyaH:n:
skd:pOsavanaM,22460:pOsavanaM:n:
skd:praRayinI,22655:praRayinI:n:
skd:praRayI,22654:praRayI:n:
skd:pratyudgamanaM,22918:pratyudgamanaM:n:
skd:pratyudgamanIyaM,22916:pratyudgamanIyaM:n:
skd:praBAvatI,23018:praBAvatI:n:
skd:praBAvAn,23017:praBAvAn:n:
skd:prARA,23397:prARA:n:
skd:prARAH,23396:prARAH:n:
skd:prAmARyavAdaH,23459:prAmARyavAdaH:n:
skd:prAmAdyaH,23456:prAmAdyaH:n:
skd:priyaMvadaH,23513:priyaMvadaH:n:
skd:priyaH,23512:priyaH:n:
skd:prertvarI,23603:prertvarI:n:
skd:prertvA,23602:prertvA:n:
skd:plu,23672:plu:n:
skd:plukziH,23671:plukziH:n:
skd:PalAdanaH,23785:PalAdanaH:n:
