pwg:purunizWa,46113:purunizWa:n:
pwg:pUlya,46934:pUlya:n:
pwg:pUvakowi,46768:pUvakowi:n:
pwg:pfTakSabda,46995:pfTakSabda:n:
pwg:pfTakzetra,46989:pfTakzetra:n:
pwg:potADAna,47387:potADAna:n:
pwg:potAla,47382:potAla:n:
pwg:pOnaHSila,47481:pOnaHSila:n:
pwg:pOnarADeyika,47474:pOnarADeyika:n:
pwg:prakzin,47760:prakzin:n:
pwg:prakzIndra,41246:prakzIndra:n:
pwg:pracIra,47877:pracIra:n:
pwg:pracIvala,47876:pracIvala:n:
pwg:pravArabAhu,49879:pravArabAhu:n:
pwg:pravArya,49828:pravArya:n:
pwg:praSasyatA,49970:praSasyatA:n:
pwg:praSa~yyuvAka,49943:praSa~yyuvAka:n:
pwg:prazRavEzRava,50036:prazRavEzRava:n:
pwg:prazyarza,48924:prazyarza:n:
pwg:prasavasTalI,50081:prasavasTalI:n:
pwg:prasavi,50080:prasavi:n:
pwg:prahrAdi,50312:prahrAdi:n:
pwg:prahrAsa,50311:prahrAsa:n:
pwg:prAGAta,50448:prAGAta:n:
pwg:prAGAra,50446:prAGAra:n:
pwg:prAtaHsnAyin,50688:prAtaHsnAyin:n:
pwg:prAtar,50654:prAtar:n:
pwg:prASlizwa,50962:prASlizwa:n:
pwg:prASvameDa,50959:prASvameDa:n:
pwg:prEpa,51234:prEpa:n:
pwg:prEya,51226:prEya:n:
pwg:banDur,87990:banDur:n:
pwg:banDura,79835:banDura:n:
pwg:barhiHzWA,51890:barhiHzWA:n:
pwg:barhikusuma,51869:barhikusuma:n:
pwg:bahiHsad,52126:bahiHsad:n:
pwg:bahiraNga,52072:bahiraNga:n:
pwg:bahirniHsAraRa,52082:bahirniHsAraRa:n:
pwg:bahirnirgamana,52081:bahirnirgamana:n:
pwg:budDIndriya,52922:budDIndriya:n:
pwg:budDEqUka,52899:budDEqUka:n:
pwg:brahmasArvArRa,53552:brahmasArvArRa:n:
pwg:brahmasArzwitA,53550:brahmasArzwitA:n:
pwg:Bawantagopadatta,53964:Bawantagopadatta:n:
pwg:BawaBawamAtftIrTa,53888:BawaBawamAtftIrTa:n:
pwg:Batrya,80128:Batrya:n:
pwg:Badatta,80082:Badatta:n:
pwg:BadrapIWa,54015:BadrapIWa:n:
pwg:Badrapura,54014:Badrapura:n:
pwg:BamamUha,54356:BamamUha:n:
pwg:BamBa,54113:BamBa:n:
pwg:Barman,54235:Barman:n:
pwg:Barmas,54205:Barmas:n:
pwg:BAdvAjI,54650:BAdvAjI:n:
pwg:BAna,54537:BAna:n:
pwg:BAvavant,54729:BAvavant:n:
pwg:BAvavanDana,54718:BAvavanDana:n:
pwg:BAvyaraTa,54755:BAvyaraTa:n:
pwg:BASataka,54733:BASataka:n:
pwg:BAsan,54793:BAsan:n:
pwg:BAsana,54786:BAsana:n:
pwg:BUtAviSa,55314:BUtAviSa:n:
pwg:BUtAvizwa,55313:BUtAvizwa:n:
pwg:BUmya,55481:BUmya:n:
pwg:BUmyanantara,55480:BUmyanantara:n:
pwg:BUliNgaSakuni,55576:BUliNgaSakuni:n:
pwg:BUliNgA,55574:BUliNgA:n:
pwg:BfgvandIya,55632:BfgvandIya:n:
pwg:BfgvISvaratIrTa,55631:BfgvISvaratIrTa:n:
pwg:Bftyatva,55684:Bftyatva:n:
pwg:BftyA,55682:BftyA:n:
pwg:maNgapuzpa,56250:maNgapuzpa:n:
pwg:maNgala,56235:maNgala:n:
pwg:maYcakAmura,56328:maYcakAmura:n:
pwg:maYcakASraya,56327:maYcakASraya:n:
pwg:maTya,56704:maTya:n:
pwg:maTra,56703:maTra:n:
pwg:madragAra,56868:madragAra:n:
pwg:madraMkara,56867:madraMkara:n:
pwg:madrAjanI,57679:madrAjanI:n:
pwg:madrAbala,56873:madrAbala:n:
pwg:maDizWa,61986:maDizWa:n:
pwg:maDu,56888:maDu:n:
pwg:maDuput,57082:maDuput:n:
pwg:maDupura,56969:maDupura:n:
pwg:maDyaSAyin,57194:maDyaSAyin:n:
pwg:maDyaSIra,57193:maDyaSIra:n:
pwg:maDyA,57204:maDyA:n:
pwg:maDyAkzaravistaralipi,57203:maDyAkzaravistaralipi:n:
pwg:mantravidyA,57525:mantravidyA:n:
pwg:mantravIja,57505:mantravIja:n:
pwg:markara,57921:markara:n:
pwg:margaraka,21894:margaraka:n:
pwg:marmaka,57988:marmaka:n:
pwg:marmakIla,57957:marmakIla:n:
pwg:malAri,58076:malAri:n:
pwg:malAvaha,58075:malAvaha:n:
pwg:mazarARa,58171:mazarARa:n:
pwg:mazi,58170:mazi:n:
pwg:mahaHmAtra,80562:mahaHmAtra:n:
pwg:mahaka,80518:mahaka:n:
pwg:mahAtapaHsaptamI,58468:mahAtapaHsaptamI:n:
pwg:mahAtapana,58466:mahAtapana:n:
pwg:mahAbahu,58698:mahAbahu:n:
pwg:mahAbArhata,58697:mahAbArhata:n:
pwg:mahASiraHsamudBava,59051:mahASiraHsamudBava:n:
pwg:mahASiras,59050:mahASiras:n:
pwg:mAqa,59534:mAqa:n:
pwg:mAqaTa,59396:mAqaTa:n:
pwg:mAtuHzvasar,59631:mAtuHzvasar:n:
pwg:mAtura,59616:mAtura:n:
pwg:mADavaSrama,59762:mADavaSrama:n:
pwg:mADavasarasvatI,59754:mADavasarasvatI:n:
pwg:mAnaHSila,59859:mAnaHSila:n:
pwg:mAnaka,59815:mAnaka:n:
pwg:mUlapuruza,61341:mUlapuruza:n:
pwg:mUlapuliSasidDAnta,61339:mUlapuliSasidDAnta:n:
pwg:mUzariHPa,61433:mUzariHPa:n:
pwg:mUzala,61410:mUzala:n:
pwg:mfLIka,61603:mfLIka:n:
pwg:mfkaRqa,61434:mfkaRqa:n:
pwg:meKalArvin,61794:meKalArvin:n:
pwg:meKalAla,61792:meKalAla:n:
pwg:medaHsAra,61945:medaHsAra:n:
pwg:medaka,61934:medaka:n:
pwg:mOktikAvali,62272:mOktikAvali:n:
pwg:mOktimAlA,62269:mOktimAlA:n:
pwg:mlicCa,62388:mlicCa:n:
pwg:mliC,62387:mliC:n:
pwg:mlecCita,62401:mlecCita:n:
pwg:mleC,62392:mleC:n:
pwg:yatiBrazwa,81123:yatiBrazwa:n:
pwg:yatimETuna,81122:yatimETuna:n:
pwg:yaTAniHsfptam,81245:yaTAniHsfptam:n:
pwg:yaTAniruptam,81241:yaTAniruptam:n:
pwg:yaSaHSeza,81748:yaSaHSeza:n:
pwg:yaSada,81746:yaSada:n:
pwg:yazwAhva,81805:yazwAhva:n:
pwg:yazwi,81790:yazwi:n:
pwg:yAgin,82497:yAgin:n:
pwg:yAc,81827:yAc:n:
pwg:yAtayAmatva,81886:yAtayAmatva:n:
pwg:yAtayAman,81885:yAtayAman:n:
pwg:yAtrAtsava,81919:yAtrAtsava:n:
pwg:yAtrAmahotsava,81916:yAtrAmahotsava:n:
pwg:yuvat,82270:yuvat:n:
pwg:yuvati,82268:yuvati:n:
pwg:yogacandrikA,82385:yogacandrikA:n:
pwg:yogacara,82384:yogacara:n:
pwg:raktataRA,82699:raktataRA:n:
pwg:raktatara,82695:raktatara:n:
pwg:rakzaHsaBam,82869:rakzaHsaBam:n:
pwg:rakzaka,82853:rakzaka:n:
pwg:rajaHspfS,83056:rajaHspfS:n:
pwg:rajaka,83009:rajaka:n:
pwg:rajaka,83009:rajaka:n:
pwg:rajaqadvAsa,83007:rajaqadvAsa:n:
pwg:rajanAya,83038:rajanAya:n:
pwg:rajani,83026:rajani:n:
pwg:rajYanadru,83089:rajYanadru:n:
pwg:raYC,83083:raYC:n:
pwg:raBodA,83555:raBodA:n:
pwg:raByaMs,83554:raByaMs:n:
pwg:rahaHsTa,83886:rahaHsTa:n:
pwg:rahaRa,83875:rahaRa:n:
pwg:rADAmADava,84448:rADAmADava:n:
pwg:rADAmedin,84447:rADAmedin:n:
pwg:retaHsicya,85235:retaHsicya:n:
pwg:retaja,85227:retaja:n:
pwg:revatya,85275:revatya:n:
pwg:revant,85270:revant:n:
pwg:lakzaRoru,85637:lakzaRoru:n:
pwg:lakzaRka,85626:lakzaRka:n:
pwg:laKa,86627:laKa:n:
pwg:laKimAdevI,85714:laKimAdevI:n:
pwg:laYcA,85898:laYcA:n:
pwg:laYCana,85897:laYCana:n:
pwg:latAvezwitaka,85961:latAvezwitaka:n:
pwg:latAvezwina,85960:latAvezwina:n:
pwg:lAwyAyana,86246:lAwyAyana:n:
pwg:lAWy,86245:lAWy:n:
pwg:lAvaRyamaya,86323:lAvaRyamaya:n:
pwg:lAvaRyaMmaYjarI,86322:lAvaRyaMmaYjarI:n:
pwg:liNkavArAhatIrTa,86363:liNkavArAhatIrTa:n:
pwg:liNK,86360:liNK:n:
pwg:limbaBawwa,86432:limbaBawwa:n:
pwg:lirgu,86361:lirgu:n:
pwg:lolalola,86894:lolalola:n:
pwg:lolavistAra,86719:lolavistAra:n:
pwg:lozwAnI,86922:lozwAnI:n:
pwg:lozwu,86919:lozwu:n:
pwg:vaNkU,87278:vaNkU:n:
pwg:vaNke,87269:vaNke:n:
pwg:vajrada,87424:vajrada:n:
pwg:vajradaMzwra,87374:vajradaMzwra:n:
pwg:vatrahatya,94831:vatrahatya:n:
pwg:vatsa,87594:vatsa:n:
pwg:vanaleKA,87849:vanaleKA:n:
pwg:vanavarbarikA,87813:vanavarbarikA:n:
pwg:vayaHsTApana,88076:vayaHsTApana:n:
pwg:vayana,88056:vayana:n:
pwg:varRareKA,88458:varRareKA:n:
pwg:varRarpuzpa,88444:varRarpuzpa:n:
pwg:varzamedas,88643:varzamedas:n:
pwg:varzaMpuzpa,88638:varzaMpuzpa:n:
pwg:valkabant,88764:valkabant:n:
pwg:valkala,88759:valkala:n:
pwg:vAHsadana,90699:vAHsadana:n:
pwg:vAka,89287:vAka:n:
pwg:vAjavant,89530:vAjavant:n:
pwg:vAjavastya,89517:vAjavastya:n:
pwg:vARitA,89636:vARitA:n:
pwg:vARinI,89635:vARinI:n:
pwg:vAyuvAhinI,90117:vAyuvAhinI:n:
pwg:vAyuvIja,90099:vAyuvIja:n:
pwg:vicCAyayati,91215:vicCAyayati:n:
pwg:vicCAyIkar,91207:vicCAyIkar:n:
pwg:viDaMsin,91947:viDaMsin:n:
pwg:viDana,91841:viDana:n:
pwg:vinivesin,92087:vinivesin:n:
pwg:viniScaya,92080:viniScaya:n:
pwg:vivAkya,93089:vivAkya:n:
pwg:vivAgatva,92445:vivAgatva:n:
pwg:viSvatUrti,93456:viSvatUrti:n:
pwg:viSvatfpta,93455:viSvatfpta:n:
pwg:vizAstra,93917:vizAstra:n:
pwg:vizAsya,93916:vizAsya:n:
pwg:visraMsikA,94243:visraMsikA:n:
pwg:visraMsin,94242:visraMsin:n:
pwg:visvara,94265:visvara:n:
pwg:visvasfj,93642:visvasfj:n:
pwg:vILu,94623:vILu:n:
pwg:vILujamBa,94378:vILujamBa:n:
pwg:vILuharas,94383:vILuharas:n:
pwg:vIka,94354:vIka:n:
pwg:vfkzamfdBU,94700:vfkzamfdBU:n:
pwg:vfkzaMmUlika,94699:vfkzaMmUlika:n:
pwg:vfzaRASva,94991:vfzaRASva:n:
pwg:vfzaRy,94990:vfzaRy:n:
pwg:veRA,95216:veRA:n:
pwg:veRAtawa,95172:veRAtawa:n:
pwg:vedyarDa,95437:vedyarDa:n:
pwg:vedyA,95436:vedyA:n:
pwg:vErAtaNka,95956:vErAtaNka:n:
pwg:vErADayya,95955:vErADayya:n:
pwg:vrIMs,96959:vrIMs:n:
pwg:vrIq,96954:vrIq:n:
pwg:Sarvan,98246:Sarvan:n:
pwg:SarvapatnI,98244:SarvapatnI:n:
pwg:Savasin,98346:Savasin:n:
pwg:SavasOSInarezu,98343:SavasOSInarezu:n:
pwg:SaSiBUzaRa,98421:SaSiBUzaRa:n:
pwg:SaSiBft,98420:SaSiBft:n:
pwg:SAkftka,98609:SAkftka:n:
pwg:SAkekzu,98608:SAkekzu:n:
pwg:SAkta,98613:SAkta:n:
pwg:SAktatva,97117:SAktatva:n:
pwg:SANkara,98674:SANkara:n:
pwg:SAMkara,98673:SAMkara:n:
pwg:SANKya,98689:SANKya:n:
pwg:SANgIya,101167:SANgIya:n:
pwg:SAradaka,98916:SAradaka:n:
pwg:SAradaRqAyanI,98914:SAradaRqAyanI:n:
pwg:SArga,98967:SArga:n:
pwg:SArNKalatodi,98966:SArNKalatodi:n:
pwg:SiraHsnAna,99452:SiraHsnAna:n:
pwg:Siraja,99433:Siraja:n:
pwg:SivAhvA,99752:SivAhvA:n:
pwg:Sivi,99391:Sivi:n:
pwg:SunaHsaKa,100364:SunaHsaKa:n:
pwg:Sunaka,100356:Sunaka:n:
pwg:SunDyu,100379:SunDyu:n:
pwg:SuMni,100370:SuMni:n:
pwg:SUrpAraka,100663:SUrpAraka:n:
pwg:SUrya,100652:SUrya:n:
pwg:SOnaHSepa,101220:SOnaHSepa:n:
pwg:SOnaka,101214:SOnaka:n:
pwg:SvetakuSa,102249:SvetakuSa:n:
pwg:SvetakuzWa,102246:SvetakuzWa:n:
pwg:zawpajYa,102461:zawpajYa:n:
pwg:zawpaYcavarza,102443:zawpaYcavarza:n:
pwg:saMSiSrIzu,103013:saMSiSrIzu:n:
pwg:saMSiSvan,103012:saMSiSvan:n:
pwg:saMga,103557:saMga:n:
pwg:saNga,103556:saNga:n:
pwg:saYjinI,103865:saYjinI:n:
pwg:saYjimant,103864:saYjimant:n:
pwg:sadoza,104368:sadoza:n:
pwg:sadohavirDAna,104366:sadohavirDAna:n:
pwg:sadyaHsnehana,104410:sadyaHsnehana:n:
pwg:sadyaSCinna,104400:sadyaSCinna:n:
pwg:sanaHSruta,104527:sanaHSruta:n:
