yat:evamBUta,7688:evamBUta:n:
yat:ojasvin,7769:ojasvin:n:
yat:ojAyamAna,7768:ojAyamAna:n:
yat:OrvAnala,7860:OrvAnala:n:
yat:OrvvaSeya,7859:OrvvaSeya:n:
yat:kaMsyanIla,9164:kaMsyanIla:n:
yat:kak,7892:kak:n:
yat:kacCUmatI,7983:kacCUmatI:n:
yat:kacvI,7971:kacvI:n:
yat:kawutkUwa,8074:kawutkUwa:n:
yat:kawutraya,8062:kawutraya:n:
yat:kaRwAkArin,8159:kaRwAkArin:n:
yat:kaRwAkila,8153:kaRwAkila:n:
yat:kadambavAyu,8258:kadambavAyu:n:
yat:kadambasaMBinna,8257:kadambasaMBinna:n:
yat:kananIka,8306:kananIka:n:
yat:kanizWa,8301:kanizWa:n:
yat:kapucCala,8433:kapucCala:n:
yat:kapuzwikA,8432:kapuzwikA:n:
yat:kapolaPalaka,8448:kapolaPalaka:n:
yat:kapolaBitti,8446:kapolaBitti:n:
yat:kambugrIvA,8504:kambugrIvA:n:
yat:kambuja,8503:kambuja:n:
yat:kamra,8509:kamra:n:
yat:kamvalAyin,8499:kamvalAyin:n:
yat:karapaRaM,8558:karapaRaM:n:
yat:karapatra,8555:karapatra:n:
yat:karRasPowA,8749:karRasPowA:n:
yat:karRasrAva,8748:karRasrAva:n:
yat:karttfkA,8781:karttfkA:n:
yat:karttfkAma,8777:karttfkAma:n:
yat:kalpitArGa,9042:kalpitArGa:n:
yat:kalpinI,9033:kalpinI:n:
yat:kazAyacitra,9129:kazAyacitra:n:
yat:kazAyAkza,9127:kazAyAkza:n:
yat:kAkakaRa,9176:kAkakaRa:n:
yat:kAkakalA,9167:kAkakalA:n:
yat:kAkacCarddi,9173:kAkacCarddi:n:
yat:kAkaCada,9172:kAkaCada:n:
yat:kANgA,9242:kANgA:n:
yat:kANgAru,9241:kANgAru:n:
yat:kAntalaka,9335:kAntalaka:n:
yat:kAntavat,9334:kAntavat:n:
yat:kAmaSara,9420:kAmaSara:n:
yat:kAmazwantA,9419:kAmazwantA:n:
yat:kAmAtmatA,9430:kAmAtmatA:n:
yat:kAmAtman,9429:kAmAtman:n:
yat:kAmADikAra,9432:kAmADikAra:n:
yat:kAmADizWita,9431:kAmADizWita:n:
yat:kAyamAna,9479:kAyamAna:n:
yat:kAyavalana,9478:kAyavalana:n:
yat:kArabellaka,9510:kArabellaka:n:
yat:kAramihikA,9505:kAramihikA:n:
yat:kAramihikA,9505:kAramihikA:n:
yat:kAramBA,9504:kAramBA:n:
yat:kArAgupta,9514:kArAgupta:n:
yat:kArAyamARa,9506:kArAyamARa:n:
yat:kArkoMka,9537:kArkoMka:n:
yat:kArkkaRa,9534:kArkkaRa:n:
yat:kArSmarI,9607:kArSmarI:n:
yat:kArSya,9606:kArSya:n:
yat:kAlakacu,9624:kAlakacu:n:
yat:kAlakaRWa,9622:kAlakaRWa:n:
yat:kAlakaraRa,9628:kAlakaraRa:n:
yat:kAlakarRikA,9626:kAlakarRikA:n:
yat:kAlajYa,9647:kAlajYa:n:
yat:kAlaYjara,9646:kAlaYjara:n:
yat:kAlaparivAsa,9659:kAlaparivAsa:n:
yat:kAlaparRa,9658:kAlaparRa:n:
yat:kAlaloha,9676:kAlaloha:n:
yat:kAlavalana,9665:kAlavalana:n:
yat:kAzWakuddAla,9778:kAzWakuddAla:n:
yat:kAzWakUdf,9777:kAzWakUdf:n:
yat:kAsIsa,9807:kAsIsa:n:
yat:kAsundIvawikA,9800:kAsundIvawikA:n:
yat:kimbA,9873:kimbA:n:
yat:kimBarA,9869:kimBarA:n:
yat:kIkakasa,9932:kIkakasa:n:
yat:kIkawa,9931:kIkawa:n:
yat:kukarmmakArin,9981:kukarmmakArin:n:
yat:kukarmman,9980:kukarmman:n:
yat:kukkawavrata,9997:kukkawavrata:n:
yat:kukkuwa,9992:kukkuwa:n:
yat:kukkuwapewaka,9995:kukkuwapewaka:n:
yat:kukkuwamaRqapa,9994:kukkuwamaRqapa:n:
yat:kukkuwARqa,9999:kukkuwARqa:n:
yat:kukkuwABa,10000:kukkuwABa:n:
yat:kuwita,10070:kuwita:n:
yat:kuwitf,10060:kuwitf:n:
yat:kuwumbArTa,10086:kuwumbArTa:n:
yat:kuwumbitA,10084:kuwumbitA:n:
yat:kuRqin,10154:kuRqin:n:
yat:kuRqina,10153:kuRqina:n:
yat:kunduruka,10213:kunduruka:n:
yat:kuny,10204:kuny:n:
yat:kurvvatrUpa,10349:kurvvatrUpa:n:
yat:kurvvARa,10347:kurvvARa:n:
yat:kulastrI,10399:kulastrI:n:
yat:kulasTiti,10398:kulasTiti:n:
yat:kulAyanilAyitA,10417:kulAyanilAyitA:n:
yat:kulAyanilAyin,10416:kulAyanilAyin:n:
yat:kulotpanna,10450:kulotpanna:n:
yat:kulodgata,10449:kulodgata:n:
yat:kuSapuzpa,10488:kuSapuzpa:n:
yat:kuSaya,10487:kuSaya:n:
yat:kuSalabudDi,10493:kuSalabudDi:n:
yat:kuSalava,10492:kuSalava:n:
yat:kuSAraRi,10506:kuSAraRi:n:
yat:kuSAlmali,10505:kuSAlmali:n:
yat:kusumezu,10574:kusumezu:n:
yat:kusumotkira,10573:kusumotkira:n:
yat:kusm,10583:kusm:n:
yat:kusvapna,10582:kusvapna:n:
yat:kftakftyatA,10718:kftakftyatA:n:
yat:kftakftyavat,10717:kftakftyavat:n:
yat:kftasaNketa,10779:kftasaNketa:n:
yat:kftasaMjYa,10776:kftasaMjYa:n:
yat:kfdanta,10856:kfdanta:n:
yat:kfdara,10855:kfdara:n:
yat:kfpaRabudDi,45045:kfpaRabudDi:n:
yat:kfpaRavatsala,45044:kfpaRavatsala:n:
yat:kfpAmaya,10869:kfpAmaya:n:
yat:kfpAlu,10868:kfpAlu:n:
yat:kfzRa,10923:kfzRa:n:
yat:kfzRaMSrita,10922:kfzRaMSrita:n:
yat:kfzRavIja,10971:kfzRavIja:n:
yat:kfzRavftritA,10939:kfzRavftritA:n:
yat:kxpti,11600:kxpti:n:
yat:kxptika,11008:kxptika:n:
yat:koNkaRAsuta,11163:koNkaRAsuta:n:
yat:koca,11161:koca:n:
yat:kOrpya,11322:kOrpya:n:
yat:kOrmma,11321:kOrmma:n:
yat:krIq,11487:krIq:n:
yat:krIqa,11486:krIqa:n:
yat:kleSaBAgin,45060:kleSaBAgin:n:
yat:kleSaBAj,45059:kleSaBAj:n:
yat:kzaRika,11652:kzaRika:n:
yat:kzaRin,11651:kzaRin:n:
yat:kzattriyaprAya,11676:kzattriyaprAya:n:
yat:kzatrAntaka,11666:kzatrAntaka:n:
yat:kzapAwatA,11695:kzapAwatA:n:
yat:kzapAnATa,11691:kzapAnATa:n:
yat:kzayarogin,11716:kzayarogin:n:
yat:kzayavAyu,11712:kzayavAyu:n:
yat:kzareja,11728:kzareja:n:
yat:kzarkzarati,11720:kzarkzarati:n:
yat:kziv,11807:kziv:n:
yat:kzizRu,11799:kzizRu:n:
yat:kzIrapAyiR,11841:kzIrapAyiR:n:
yat:kzIrapAyin,11840:kzIrapAyin:n:
yat:kzIrAnnAda,11858:kzIrAnnAda:n:
yat:kzIrAbDi,11855:kzIrAbDi:n:
yat:kzugra,11919:kzugra:n:
yat:kzuRa,11873:kzuRa:n:
yat:kzudrabaMSA,11899:kzudrabaMSA:n:
yat:kzudrabudDi,11896:kzudrabudDi:n:
yat:kzuD,11909:kzuD:n:
yat:kzuDa,11908:kzuDa:n:
yat:kzetrarASi,11947:kzetrarASi:n:
yat:kzetravid,11946:kzetravid:n:
yat:KaKaja,12042:KaKaja:n:
yat:KaKolka,12017:KaKolka:n:
yat:KawI,12062:KawI:n:
yat:KawKawati,12055:KawKawati:n:
yat:KaqgarAwa,12096:KaqgarAwa:n:
yat:KaqgaleKA,12095:KaqgaleKA:n:
yat:KaRqakaTA,12108:KaRqakaTA:n:
yat:KaRqakarRa,12107:KaRqakarRa:n:
yat:Kadyotana,12145:Kadyotana:n:
yat:KadvA,12071:KadvA:n:
yat:KarapadAdya,12181:KarapadAdya:n:
yat:KarapAtra,12180:KarapAtra:n:
yat:KarparItutTa,12209:KarparItutTa:n:
yat:Karppara,12207:Karppara:n:
yat:KasKasa,12268:KasKasa:n:
yat:KastanI,12267:KastanI:n:
yat:KANgika,12275:KANgika:n:
yat:KAjika,12271:KAjika:n:
yat:gaNgAtIra,12403:gaNgAtIra:n:
yat:gaNgAdvAra,12402:gaNgAdvAra:n:
yat:gatyUna,12576:gatyUna:n:
yat:gatvara,12574:gatvara:n:
yat:gaBANka,12802:gaBANka:n:
yat:gaBIra,12694:gaBIra:n:
yat:galU,12848:galU:n:
yat:galegaRqa,12846:galegaRqa:n:
yat:galestanI,12847:galestanI:n:
yat:galgalati,12823:galgalati:n:
yat:gArgIputrakAyani,12950:gArgIputrakAyani:n:
yat:gArgga,12948:gArgga:n:
yat:girikadalI,12979:girikadalI:n:
yat:girikandara,12978:girikandara:n:
yat:guRagfhya,13081:guRagfhya:n:
yat:guRagrahaRa,13079:guRagrahaRa:n:
yat:guRasaNgraha,13113:guRasaNgraha:n:
yat:guRasampad,13111:guRasampad:n:
yat:gurupatra,13191:gurupatra:n:
yat:gurupramoda,13188:gurupramoda:n:
yat:gurumarddala,13192:gurumarddala:n:
yat:gururatna,13189:gururatna:n:
yat:gfDnutA,13273:gfDnutA:n:
yat:gfDya,13271:gfDya:n:
yat:gfhadruma,13299:gfhadruma:n:
yat:gfhadvAra,13298:gfhadvAra:n:
yat:gfharanDra,13317:gfharanDra:n:
yat:gfhavali,13305:gfhavali:n:
yat:gfhApakaraRa,13344:gfhApakaraRa:n:
yat:gfhABipAlin,13328:gfhABipAlin:n:
yat:gogfzwi,13382:gogfzwi:n:
yat:gogoyuga,13380:gogoyuga:n:
yat:goGfta,13387:goGfta:n:
yat:goGna,13386:goGna:n:
yat:gopIcandana,13464:gopIcandana:n:
yat:gopItacApa,13443:gopItacApa:n:
yat:gosagfha,13561:gosagfha:n:
yat:gosaMKya,13560:gosaMKya:n:
