acc:anumAnaprAmARyavAdarahasya,686:anumAnaprAmARyavAdarahasya:n:
acc:anumAnaprAmARyavyavasTApana,31447:anumAnaprAmARyavyavasTApana:n:
acc:anumitigranTarahasya,700:anumitigranTarahasya:n:
acc:anumitiwippanI,41843:anumitiwippanI:n:
acc:anumitiparAmarSayoHkAryakAraRaBAvaGawakapratmAsattiH,708:anumitiparAmarSayoHkAryakAraRaBAvaGawakapratmAsattiH:n:
acc:anumitiparAmarSayoHkAryakAraRaBAvavicAraH,41845:anumitiparAmarSayoHkAryakAraRaBAvavicAraH:n:
acc:anumitiparAmarSavicAra,710:anumitiparAmarSavicAra:n:
acc:anumitiparAmarSaviveka,41847:anumitiparAmarSaviveka:n:
acc:anumitiparAmarSaviveka,41847:anumitiparAmarSaviveka:n:
acc:anumitiparAmarSahetutAvicAra,31450:anumitiparAmarSahetutAvicAra:n:
acc:anuvAkADyAya,732:anuvAkADyAya:n:
acc:anuvAkAnukramaRikABAzya,39330:anuvAkAnukramaRikABAzya:n:
acc:anustotra,739:anustotra:n:
acc:anustotrasUtra,39331:anustotrasUtra:n:
acc:anUpacandra,743:anUpacandra:n:
acc:anUpanArAyaRa,41857:anUpanArAyaRa:n:
acc:anUpasiMhadeva,750:anUpasiMhadeva:n:
acc:anekapakzadvAdaSAhaprayoga,39334:anekapakzadvAdaSAhaprayoga:n:
acc:antyakarmaviDi,781:antyakarmaviDi:n:
acc:antyakriyAviDi,39337:antyakriyAviDi:n:
acc:antyezwi,782:antyezwi:n:
acc:antyezwikriyAdisapiRqIkaraRAntaprayoga,41865:antyezwikriyAdisapiRqIkaraRAntaprayoga:n:
acc:antyezwiprayoga,786:antyezwiprayoga:n:
acc:antyezwiprayogeekAdaSAhavihitadAnAni,31465:antyezwiprayogeekAdaSAhavihitadAnAni:n:
acc:antyezwiprAyaScitta,788:antyezwiprAyaScitta:n:
acc:antyezwiviDi,787:antyezwiviDi:n:
acc:anDayazwipadDati,791:anDayazwipadDati:n:
acc:anDayazwiprayogavftti,41869:anDayazwiprayogavftti:n:
acc:annapUrRAdaSaka,802:annapUrRAdaSaka:n:
acc:annapUrRAdevItrElokyamohanakavaca,31467:annapUrRAdevItrElokyamohanakavaca:n:
acc:annapUrRApaYcaratna,804:annapUrRApaYcaratna:n:
acc:annapUrRApaYcANga,39338:annapUrRApaYcANga:n:
acc:annapUrRASataka,808:annapUrRASataka:n:
acc:annapUrRAzwaka,41871:annapUrRAzwaka:n:
acc:annapUrRAstotra,812:annapUrRAstotra:n:
acc:annapUrReSvarIpaYcANga,31470:annapUrReSvarIpaYcANga:n:
acc:annaprASanaprayoga,816:annaprASanaprayoga:n:
acc:annaBftikAstava,41876:annaBftikAstava:n:
acc:annamerudAnapadDati,41877:annamerudAnapadDati:n:
acc:annamBawwa,31471:annamBawwa:n:
acc:annaMBawwa,817:annaMBawwa:n:
acc:anyaTAKyAtikaRwakodDAra,31472:anyaTAKyAtikaRwakodDAra:n:
acc:anyaTAKyAtitattva,820:anyaTAKyAtitattva:n:
acc:anyaTAKyAtiprakaraRa,41878:anyaTAKyAtiprakaraRa:n:
acc:anyaTAKyAtiprakaraRa,41878:anyaTAKyAtiprakaraRa:n:
acc:anyaTAKyAtirahasya,31473:anyaTAKyAtirahasya:n:
acc:anyoktiSataka,832:anyoktiSataka:n:
acc:anyopadeSaratnAkara,41882:anyopadeSaratnAkara:n:
acc:anyopadeSaratnAkara,41882:anyopadeSaratnAkara:n:
acc:anvaTAKyAtivAdapratyakzalakzaRa,30062:anvaTAKyAtivAdapratyakzalakzaRa:n:
acc:anvayaboDinI,833:anvayaboDinI:n:
acc:anvayamuKa,41883:anvayamuKa:n:
acc:anvayavyatireki,837:anvayavyatireki:n:
acc:anvayaSikzA,41884:anvayaSikzA:n:
acc:anvazwakA,840:anvazwakA:n:
acc:anvazwakAnavamISrAdDapadDati,41885:anvazwakAnavamISrAdDapadDati:n:
acc:anvADAnIyezwipadDati,41886:anvADAnIyezwipadDati:n:
acc:anvADAnezwimaDyesUryAcandragrahaRanirRayaH,31478:anvADAnezwimaDyesUryAcandragrahaRanirRayaH:n:
acc:anvAramBaRIyezwi,844:anvAramBaRIyezwi:n:
acc:apatnIkasyAgnihotranirRayaH,30064:apatnIkasyAgnihotranirRayaH:n:
acc:apamftyuparihArakastotra,847:apamftyuparihArakastotra:n:
acc:apamftyurogAdiSAntiviDi,31482:apamftyurogAdiSAntiviDi:n:
acc:aparaprayogadarpaRa,854:aparaprayogadarpaRa:n:
acc:aparaprayogasaMgraha,41890:aparaprayogasaMgraha:n:
acc:aparasUtra,858:aparasUtra:n:
acc:aparasUtraprayoga,41892:aparasUtraprayoga:n:
acc:aparAka,873:aparAka:n:
acc:aparAjita,859:aparAjita:n:
acc:aparAjitapfCA,860:aparAjitapfCA:n:
acc:aparAjitapraBA,41895:aparAjitapraBA:n:
acc:aparAjitavAstuSAstra,862:aparAjitavAstuSAstra:n:
acc:aparAjitavidyA,31485:aparAjitavidyA:n:
acc:aparAjitAstotra,866:aparAjitAstotra:n:
acc:aparAjyezWakfzRA,41894:aparAjyezWakfzRA:n:
acc:aparAjyezWakfzRA,41894:aparAjyezWakfzRA:n:
acc:aparADakzamApaRastotra,39342:aparADakzamApaRastotra:n:
acc:aparADakzamAstotra,867:aparADakzamAstotra:n:
acc:aparADadaSaka,41899:aparADadaSaka:n:
acc:aparADaSataka,870:aparADaSataka:n:
acc:aparADasundara,31488:aparADasundara:n:
acc:aparADastotra,872:aparADastotra:n:
acc:aparArka,31492:aparArka:n:
acc:aparArka,31492:aparArka:n:
acc:aparAsUkta,31491:aparAsUkta:n:
acc:aparokzAnuBava,876:aparokzAnuBava:n:
acc:aparokzAnuBUti,30069:aparokzAnuBUti:n:
acc:apahAravarmacarita,882:apahAravarmacarita:n:
acc:apAdyAhOtra,31495:apAdyAhOtra:n:
acc:apUrvavAdarahasya,889:apUrvavAdarahasya:n:
acc:apekzAbudDidvitvayornASyanASakaBAvaH,31497:apekzAbudDidvitvayornASyanASakaBAvaH:n:
acc:apekzAbudDidvitvayornASyanASakaBAvaH,31497:apekzAbudDidvitvayornASyanASakaBAvaH:n:
acc:apekzAbudDivicAra,30070:apekzAbudDivicAra:n:
acc:apekzitavyAKyAna,891:apekzitavyAKyAna:n:
acc:apoSAnaviDi,41908:apoSAnaviDi:n:
acc:aptoryAma,892:aptoryAma:n:
acc:aptoryAmapadDati,41909:aptoryAmapadDati:n:
acc:aptoryAmaSastra,894:aptoryAmaSastra:n:
acc:aptoryAmasaMsTApadDati,39346:aptoryAmasaMsTApadDati:n:
acc:aptoryAmasagarBahotfsaptaka,895:aptoryAmasagarBahotfsaptaka:n:
acc:aptoryAmasAman,30071:aptoryAmasAman:n:
acc:aptoryAmahOtra,896:aptoryAmahOtra:n:
acc:aptoryAmArcika,30073:aptoryAmArcika:n:
acc:appaRRaAcArya,899:appaRRaAcArya:n:
acc:appadIkzita,898:appadIkzita:n:
acc:appadIkzita,898:appadIkzita:n:
acc:appayajvan,39347:appayajvan:n:
acc:appayyakapolacapewikA,904:appayyakapolacapewikA:n:
acc:appayyadIkzita,903:appayyadIkzita:n:
acc:appAvAjapeyin,907:appAvAjapeyin:n:
acc:appASAstrin,906:appASAstrin:n:
acc:apyodIkzita,910:apyodIkzita:n:
acc:apratizWatvaharAdiviDi,41912:apratizWatvaharAdiviDi:n:
acc:abdaprayoga,914:abdaprayoga:n:
acc:abdamUrtipUjA,41913:abdamUrtipUjA:n:
acc:aBayAnanda,928:aBayAnanda:n:
acc:aBayAvrata,41914:aBayAvrata:n:
acc:aBAvajYAnapratiyogijYAnakAryakAraRaBAvavicAra,929:aBAvajYAnapratiyogijYAnakAryakAraRaBAvavicAra:n:
acc:aBAvajYAnepratiyogijYAnakAraRavicAraH,41915:aBAvajYAnepratiyogijYAnakAraRavicAraH:n:
acc:aBAvavAda,931:aBAvavAda:n:
acc:aBijYAnaratnAvalI,41916:aBijYAnaratnAvalI:n:
acc:aBijYAnaSakuntala,932:aBijYAnaSakuntala:n:
acc:aBijYAnaSAkuntala,41917:aBijYAnaSAkuntala:n:
acc:aBiDAwIkA,41918:aBiDAwIkA:n:
acc:aBiDAnacandrikA,39351:aBiDAnacandrikA:n:
acc:aBiDAnaratnamAlA,938:aBiDAnaratnamAlA:n:
acc:aBiDArTacintAmaRi,31506:aBiDArTacintAmaRi:n:
acc:aBinavagadA,952:aBinavagadA:n:
acc:aBinavagItagovinda,41923:aBinavagItagovinda:n:
acc:aBinavatARqavazawkaRWa,958:aBinavatARqavazawkaRWa:n:
acc:aBinavatAmarasa,41925:aBinavatAmarasa:n:
acc:aBinavaDarmaBUzaRAcArya,960:aBinavaDarmaBUzaRAcArya:n:
acc:aBinavanArAyaRacampU,31513:aBinavanArAyaRacampU:n:
acc:aBinavazaqaSIti,974:aBinavazaqaSIti:n:
acc:aBinavazadaSIti,41927:aBinavazadaSIti:n:
acc:aBimanyurAjan,980:aBimanyurAjan:n:
acc:aBimanyuvAkya,41928:aBimanyuvAkya:n:
acc:aBirAmakAvya,985:aBirAmakAvya:n:
acc:aBirAmagosvAmin,983:aBirAmagosvAmin:n:
