bur:mAMsa,13339:mAMsa:n:
bur:mAkanda,13203:mAkanda:n:
bur:mAGa,13208:mAGa:n:
bur:mANkz,13206:mANkz:n:
bur:mAtAmaha,13229:mAtAmaha:n:
bur:mAtAlI,13228:mAtAlI:n:
bur:mAlya,13318:mAlya:n:
bur:mAllavI,13317:mAllavI:n:
bur:mAhAtmya,13332:mAhAtmya:n:
bur:mAhAnAmnika,13331:mAhAnAmnika:n:
bur:mimaMse,13368:mimaMse:n:
bur:mimaNkzAmi,13361:mimaNkzAmi:n:
bur:mekzyAmi,13574:mekzyAmi:n:
bur:meKalA,13573:meKalA:n:
bur:yaMsyAmi,13759:yaMsyAmi:n:
bur:yakan,13687:yakan:n:
bur:yaNg,13836:yaNg:n:
bur:yaC,13693:yaC:n:
bur:yAjYika,13769:yAjYika:n:
bur:yAjya,13765:yAjya:n:
bur:yiyaMsAmi,13825:yiyaMsAmi:n:
bur:yiyakzAmi,13821:yiyakzAmi:n:
bur:raMhas,14033:raMhas:n:
bur:rak,13914:rak:n:
bur:riraMse,14132:riraMse:n:
bur:rirakzizAmi,14127:rirakzizAmi:n:
bur:rukza,14166:rukza:n:
bur:ruksadyan,14165:ruksadyan:n:
bur:roSaMsA,14302:roSaMsA:n:
bur:roSayAmi,14301:roSayAmi:n:
bur:lasj,14425:lasj:n:
bur:lasta,14424:lasta:n:
bur:lohiRI,14606:lohiRI:n:
bur:lohita,14605:lohita:n:
bur:vaMh,14938:vaMh:n:
bur:vaka,14618:vaka:n:
bur:vataMsa,14683:vataMsa:n:
bur:vataRqa,14682:vataRqa:n:
bur:vAyavI,15046:vAyavI:n:
bur:vAyavya,15045:vAyavya:n:
bur:vAsas,15141:vAsas:n:
bur:vAsasajjA,15140:vAsasajjA:n:
bur:viMSa,15961:viMSa:n:
bur:vika,15178:vika:n:
bur:vicakzus,15272:vicakzus:n:
bur:vicakze,15271:vicakze:n:
bur:vitaMsa,15362:vitaMsa:n:
bur:vitaRqa,15351:vitaRqa:n:
bur:viniHsfta,15509:viniHsfta:n:
bur:vinikaromi,15476:vinikaromi:n:
bur:viBaNga,15596:viBaNga:n:
bur:viBajAmi,15595:viBajAmi:n:
bur:vivartize,15764:vivartize:n:
bur:vivarte,15763:vivarte:n:
bur:vivarDize,15766:vivarDize:n:
bur:vivarDe,15765:vivarDe:n:
bur:vivasize,15772:vivasize:n:
bur:vivase,15771:vivase:n:
bur:vizwala,15890:vizwala:n:
bur:vizwi,15889:vizwi:n:
bur:visraMse,15940:visraMse:n:
bur:visrajana,15937:visrajana:n:
bur:vItaMsa,15976:vItaMsa:n:
bur:vItanO,15975:vItanO:n:
bur:vfMh,16063:vfMh:n:
bur:vfk,15996:vfk:n:
bur:vfzavAhana,16045:vfzavAhana:n:
bur:vfzaSatru,16044:vfzaSatru:n:
bur:vyaMsayAmi,16355:vyaMsayAmi:n:
bur:vyakta,16273:vyakta:n:
bur:SaMst,16662:SaMst:n:
bur:Sak,16481:Sak:n:
bur:SAtamAnaka,16707:SAtamAnaka:n:
bur:SAtayAmi,16705:SAtayAmi:n:
bur:SASaMsmi,16769:SASaMsmi:n:
bur:SASakye,16765:SASakye:n:
bur:saMhvaye,18340:saMhvaye:n:
bur:saka,17240:saka:n:
bur:saYcakze,17354:saYcakze:n:
bur:saYcat,17353:saYcat:n:
bur:satItva,17400:satItva:n:
bur:satIna,17399:satIna:n:
bur:sandaMSa,17499:sandaMSa:n:
bur:sandaDAmi,17494:sandaDAmi:n:
bur:samAyukta,17748:samAyukta:n:
bur:samAyuta,17747:samAyuta:n:
bur:samunnadDa,17861:samunnadDa:n:
bur:samunnamAmi,17860:samunnamAmi:n:
bur:samupatapye,17868:samupatapye:n:
bur:samupatizWAmi,17867:samupatizWAmi:n:
bur:sasaMhAra,18219:sasaMhAra:n:
bur:sasattvA,18217:sasattvA:n:
bur:sahokti,18264:sahokti:n:
bur:sahowaja,18263:sahowaja:n:
bur:sAMhita,18533:sAMhita:n:
bur:sAkam,18342:sAkam:n:
bur:sAyuDa,18454:sAyuDa:n:
bur:sAye,18453:sAye:n:
bur:siMhARa,18599:siMhARa:n:
bur:sikatA,18535:sikatA:n:
bur:sizAya,18571:sizAya:n:
bur:sizAsAmi,18569:sizAsAmi:n:
bur:surottama,18834:surottama:n:
bur:surottara,18833:surottara:n:
bur:suvalk,18846:suvalk:n:
bur:suvalli,18845:suvalli:n:
bur:sEMha,19029:sEMha:n:
bur:sEkata,19016:sEkata:n:
bur:sraMh,19370:sraMh:n:
bur:sragvin,19359:sragvin:n:
bur:svaguptA,19393:svaguptA:n:
bur:svagfha,19392:svagfha:n:
bur:haMho,19559:haMho:n:
bur:hakka,19480:hakka:n:
bur:hiMsra,19642:hiMsra:n:
bur:hikk,19608:hikk:n:
