ccs:miTaHsamaya,18862:miTaHsamaya:n:
ccs:miTatyA,18860:miTatyA:n:
ccs:muktAruc,18936:muktAruc:n:
ccs:muktAvali,18935:muktAvali:n:
ccs:mUlasvAmin,29940:mUlasvAmin:n:
ccs:mUlahara,19099:mUlahara:n:
ccs:mfLayAku,19161:mfLayAku:n:
ccs:mfkaRqa,19112:mfkaRqa:n:
ccs:mfkaRqa,19112:mfkaRqa:n:
ccs:mfkz,19111:mfkz:n:
ccs:mfgayASIla,29941:mfgayASIla:n:
ccs:mfgayu,19127:mfgayu:n:
ccs:mfgavaDU,29942:mfgavaDU:n:
ccs:mfgavana,19134:mfgavana:n:
ccs:mfqIka,19164:mfqIka:n:
ccs:mfQAnI,19162:mfQAnI:n:
ccs:mezavfzaRa,19290:mezavfzaRa:n:
ccs:mezikA,19289:mezikA:n:
ccs:mlecCana,19408:mlecCana:n:
ccs:mleC,19405:mleC:n:
ccs:yaja,19436:yaja:n:
ccs:yajata,19428:yajata:n:
ccs:yajYamuKa,29944:yajYamuKa:n:
ccs:yajYamuz,19465:yajYamuz:n:
ccs:yata,19489:yata:n:
ccs:yatanIya,19432:yatanIya:n:
ccs:yatAtman,19496:yatAtman:n:
ccs:yatAna,19431:yatAna:n:
ccs:yatsaMKyAka,29945:yatsaMKyAka:n:
ccs:yaTA,19516:yaTA:n:
ccs:yamaDAnI,29946:yamaDAnI:n:
ccs:yamana,19638:yamana:n:
ccs:yahUnt,19707:yahUnt:n:
ccs:yahva,19706:yahva:n:
ccs:yup,29948:yup:n:
ccs:yuyutsA,19860:yuyutsA:n:
ccs:yuzmant,2782:yuzmant:n:
ccs:yuzmAka,19875:yuzmAka:n:
ccs:rahaHsTa,20251:rahaHsTa:n:
ccs:rahaRa,20247:rahaRa:n:
ccs:rUpajIva,20574:rUpajIva:n:
ccs:rUpaRa,20565:rUpaRa:n:
ccs:retaHskandana,20597:retaHskandana:n:
ccs:retaja,20592:retaja:n:
ccs:vanitar,21298:vanitar:n:
ccs:vanitA,21297:vanitA:n:
ccs:vapa,21335:vapa:n:
ccs:vapati,21334:vapati:n:
ccs:vayaHsTa,21369:vayaHsTa:n:
ccs:vayas,21360:vayas:n:
ccs:vasyaMs,21709:vasyaMs:n:
ccs:vasra,21697:vasra:n:
ccs:vAgvyavahAra,29969:vAgvyavahAra:n:
ccs:vAGat,21772:vAGat:n:
ccs:vAcAwa,21788:vAcAwa:n:
ccs:vAcAmAtra,21787:vAcAmAtra:n:
ccs:vArzRa,29970:vArzRa:n:
ccs:vArzReya,22006:vArzReya:n:
ccs:vASin,22031:vASin:n:
ccs:vASinta,22029:vASinta:n:
ccs:vAsaHKaRqa,22039:vAsaHKaRqa:n:
