mw:ajanta,1769:ajanta:n:
mw:ajanya,2067:ajanya:n:
mw:ajapa,1967:ajapa:n:
mw:ajapA,2071:ajapA:n:
mw:ajapAd,1971:ajapAd:n:
mw:ajapAd,1971:ajapAd:n:
mw:ajapAda,1970:ajapAda:n:
mw:ajaras,2092:ajaras:n:
mw:ajarA,2085:ajarA:n:
mw:ajarya,2093:ajarya:n:
mw:ajarzaBa,1991:ajarzaBa:n:
mw:ajaloma,1995:ajaloma:n:
mw:ajaloman,1993:ajaloman:n:
mw:ajavas,2095:ajavas:n:
mw:ajavasti,1997:ajavasti:n:
mw:ajahalliNga,2100:ajahalliNga:n:
mw:ajahA,2003:ajahA:n:
mw:ajahA,2003:ajahA:n:
mw:ajA,1928:ajA:n:
mw:ajAgara,2102:ajAgara:n:
mw:ajAgala,2008:ajAgala:n:
mw:ajAtOlvali,2011:ajAtOlvali:n:
mw:ajAtva,1963:ajAtva:n:
mw:ajAni,2115:ajAni:n:
mw:ajAntrI,2015:ajAntrI:n:
mw:ajAyamAna,2120:ajAyamAna:n:
mw:ajAvi,2018:ajAvi:n:
mw:ajinapattrikA,2144:ajinapattrikA:n:
mw:ajinapattrI,2143:ajinapattrI:n:
mw:ajiraSocis,2156:ajiraSocis:n:
mw:ajirA,2149:ajirA:n:
mw:ajeya,2196:ajeya:n:
mw:ajEkapAd,2022:ajEkapAd:n:
mw:ajYakA,2210:ajYakA:n:
mw:ajYatA,2208:ajYatA:n:
mw:ajYAtaka,2222:ajYAtaka:n:
mw:ajYAtakulaSIla,2216:ajYAtakulaSIla:n:
mw:ajYAtaBukta,2218:ajYAtaBukta:n:
mw:ajYAtam,2212:ajYAtam:n:
mw:ajYAs,2236:ajYAs:n:
mw:ajYikA,2211:ajYikA:n:
mw:ajYeya,2237:ajYeya:n:
mw:ajma,2033:ajma:n:
mw:ajyezWavftti,2249:ajyezWavftti:n:
mw:ajra,2240:ajra:n:
mw:aYjaHsava,2303:aYjaHsava:n:
mw:aYjaka,2268:aYjaka:n:
mw:aYjanakI,2290:aYjanakI:n:
mw:aYjanakeSa,2282:aYjanakeSa:n:
mw:aYjanavat,2285:aYjanavat:n:
mw:aYjanA,2269:aYjanA:n:
mw:aYjalika,2330:aYjalika:n:
mw:aYjalikarman,2324:aYjalikarman:n:
