pe:asitadevala,484:asitadevala:n:
pe:asitaparvata,488:asitaparvata:n:
pe:asitA,482:asitA:n:
pe:asitA,482:asitA:n:
pe:asidDArTa,476:asidDArTa:n:
pe:asipatravana,481:asipatravana:n:
pe:asiloma,480:asiloma:n:
pe:asUrtarajasa,561:asUrtarajasa:n:
pe:astI,556:astI:n:
pe:ahiMsA,97:ahiMsA:n:
pe:ahicCatra,95:ahicCatra:n:
pe:ahicCatra,95:ahicCatra:n:
pe:ahitA,100:ahitA:n:
pe:ahirbuDnya,99:ahirbuDnya:n:
pe:ahorAtra,101:ahorAtra:n:
pe:AkaTa,714:AkaTa:n:
pe:Akarza,712:Akarza:n:
pe:AkUti,718:AkUti:n:
pe:Akfti,716:Akfti:n:
pe:Akftiputra,717:Akftiputra:n:
pe:AkroSa,715:AkroSa:n:
pe:AkroSa,715:AkroSa:n:
pe:AgniveSya,699:AgniveSya:n:
pe:AgniveSya,699:AgniveSya:n:
pe:AgnIDra,698:AgnIDra:n:
pe:AgnIDra,698:AgnIDra:n:
pe:AgneyapurARa,695:AgneyapurARa:n:
pe:ANGrika,738:ANGrika:n:
pe:Acamana,676:Acamana:n:
pe:AYjana,740:AYjana:n:
pe:AYjali,739:AYjali:n:
pe:AwavIpuri,796:AwavIpuri:n:
pe:Aqambara,678:Aqambara:n:
pe:AtreyI,801:AtreyI:n:
pe:ATarvaRa,797:ATarvaRa:n:
pe:ATarvaRa,797:ATarvaRa:n:
pe:AdikUrma,682:AdikUrma:n:
pe:AdikUrma,682:AdikUrma:n:
pe:AdigadADara,681:AdigadADara:n:
pe:AdityavarRa,693:AdityavarRa:n:
pe:Adityasena,691:Adityasena:n:
pe:Adityasena,691:Adityasena:n:
pe:Adityahfdaya,689:Adityahfdaya:n:
pe:Adityahfdaya,689:Adityahfdaya:n:
pe:Adiparva,683:Adiparva:n:
pe:AnuSAsanika,741:AnuSAsanika:n:
pe:AnDra,734:AnDra:n:
pe:Apavan,746:Apavan:n:
pe:Apastamba,744:Apastamba:n:
pe:ApUraRa,750:ApUraRa:n:
pe:ApodaDOmya,748:ApodaDOmya:n:
pe:Apta,749:Apta:n:
pe:ABIra,675:ABIra:n:
pe:AyuzmAn,821:AyuzmAn:n:
pe:Ayus,819:Ayus:n:
pe:Ayus,819:Ayus:n:
pe:Ayogava,814:Ayogava:n:
pe:AyrAja,816:AyrAja:n:
pe:Ar,751:Ar:n:
pe:AraReyaparva,753:AraReyaparva:n:
pe:ArAlika,752:ArAlika:n:
pe:AruzI,766:AruzI:n:
pe:Arocaka,756:Arocaka:n:
pe:Arocaka,756:Arocaka:n:
pe:Arjava,755:Arjava:n:
pe:ArtimAn,760:ArtimAn:n:
pe:ArttAyani,759:ArttAyani:n:
pe:Aryaku,770:Aryaku:n:
pe:AryA,768:AryA:n:
pe:AryAvarta,771:AryAvarta:n:
pe:Arza,757:Arza:n:
pe:ArzwizeRa,758:ArzwizeRa:n:
pe:AlajAla,719:AlajAla:n:
pe:AvasTya,810:AvasTya:n:
pe:Avaha,805:Avaha:n:
pe:Avirhotra,811:Avirhotra:n:
pe:ASAvaha,782:ASAvaha:n:
pe:ASvalAyana,793:ASvalAyana:n:
pe:AzAQa,773:AzAQa:n:
pe:AzAQaka,778:AzAQaka:n:
pe:AzAQaBUti,775:AzAQaBUti:n:
pe:Asuri,792:Asuri:n:
pe:AstIka,788:AstIka:n:
pe:AstIka,788:AstIka:n:
pe:AhavanIya,702:AhavanIya:n:
pe:Ahuti,704:Ahuti:n:
pe:i,2722:i:n:
pe:ikzumatI,2728:ikzumatI:n:
pe:ikzulA,2727:ikzulA:n:
pe:ikzvAku,2729:ikzvAku:n:
pe:iqA,2724:iqA:n:
pe:indIvarasena,2745:indIvarasena:n:
pe:indIvarAkza,2744:indIvarAkza:n:
pe:indumatI,2783:indumatI:n:
pe:indra,2746:indra:n:
pe:indrakIla,2760:indrakIla:n:
pe:indrajit,2759:indrajit:n:
pe:indratoyA,2777:indratoyA:n:
pe:indradatta,2749:indradatta:n:
pe:indradatta,2749:indradatta:n:
pe:indradamana,2748:indradamana:n:
pe:indradamana,2748:indradamana:n:
pe:indradEvata,2747:indradEvata:n:
pe:indradyumna,2752:indradyumna:n:
pe:indradvIpa,2751:indradvIpa:n:
pe:indradvIpa,2751:indradvIpa:n:
pe:indraDvaja,2750:indraDvaja:n:
pe:indrapUjA,2767:indrapUjA:n:
pe:indrapramati,2765:indrapramati:n:
pe:indraprasTa,2766:indraprasTa:n:
pe:indramArga,2762:indramArga:n:
pe:indramArga,2762:indramArga:n:
pe:indralokABigamana,2761:indralokABigamana:n:
pe:indravarman,2779:indravarman:n:
pe:indravAhana,2778:indravAhana:n:
pe:indravAhana,2778:indravAhana:n:
pe:indrazena,2768:indrazena:n:
pe:indrasenA,2772:indrasenA:n:
pe:indrARI,2763:indrARI:n:
pe:irAvatI,2790:irAvatI:n:
pe:irAvAn,2789:irAvAn:n:
pe:irimpu,2794:irimpu:n:
pe:ila,2730:ila:n:
pe:ilavu,2737:ilavu:n:
pe:ilA,2731:ilA:n:
pe:ilAvfta,2735:ilAvfta:n:
pe:ilAspada,2733:ilAspada:n:
pe:izupAda,2800:izupAda:n:
pe:izwaraSmi,2798:izwaraSmi:n:
pe:izwASva,2799:izwASva:n:
pe:I,2723:I:n:
pe:Iyam,2802:Iyam:n:
pe:Iri,2793:Iri:n:
pe:Iri,2793:Iri:n:
pe:Irjika,2792:Irjika:n:
pe:Irjika,2792:Irjika:n:
pe:Ilina,2740:Ilina:n:
pe:ukTa,7707:ukTa:n:
pe:ugra,7673:ugra:n:
pe:ugratIrTa,7696:ugratIrTa:n:
pe:ugratejas,7694:ugratejas:n:
pe:ugratejas,7694:ugratejas:n:
pe:ugradaMzwrI,7679:ugradaMzwrI:n:
pe:ugraSravas,7690:ugraSravas:n:
pe:ugrasena,7684:ugrasena:n:
pe:ugroDa,7701:ugroDa:n:
pe:ucaka,7648:ucaka:n:
pe:ujjapAlaka,7704:ujjapAlaka:n:
pe:ujjaya,7702:ujjaya:n:
pe:ujjayinI,7706:ujjayinI:n:
pe:ujjAnaka,7703:ujjAnaka:n:
pe:uttaNka,7828:uttaNka:n:
pe:uttama,7823:uttama:n:
pe:uttarakuru,7836:uttarakuru:n:
pe:uttarakosala,7835:uttarakosala:n:
pe:uttarakosala,7835:uttarakosala:n:
pe:uttarajyotizA,7834:uttarajyotizA:n:
pe:uttarajyotizA,7834:uttarajyotizA:n:
pe:uttaradiSA,7833:uttaradiSA:n:
pe:uttarapAriyAtra,7839:uttarapAriyAtra:n:
pe:uttarA,7832:uttarA:n:
pe:uttarApaTa,7840:uttarApaTa:n:
pe:uttarmAnasa,7837:uttarmAnasa:n:
pe:uttarmAnasa,7837:uttarmAnasa:n:
pe:uttAnapAda,7827:uttAnapAda:n:
pe:uttAnapAda,7827:uttAnapAda:n:
pe:uttAnabarhis,7826:uttAnabarhis:n:
pe:uttejinI,7843:uttejinI:n:
pe:utpalAvana,7818:utpalAvana:n:
pe:utsavasaNketa,7822:utsavasaNketa:n:
pe:udapAna,7655:udapAna:n:
pe:udayana,7662:udayana:n:
pe:udaraSARqilya,7658:udaraSARqilya:n:
pe:udaraSARqilya,7658:udaraSARqilya:n:
pe:udarAkza,7657:udarAkza:n:
pe:udarka,7659:udarka:n:
pe:udAnavAyu,7654:udAnavAyu:n:
pe:udIcya,7668:udIcya:n:
pe:uddaRqaSAstrI,7665:uddaRqaSAstrI:n:
pe:uddaRqaSAstrI,7665:uddaRqaSAstrI:n:
pe:uddAlaka,7663:uddAlaka:n:
pe:uddIpaka,7667:uddIpaka:n:
pe:udDava,7666:udDava:n:
pe:udyogaparva,7672:udyogaparva:n:
pe:udrapAraka,7669:udrapAraka:n:
pe:udvaha,7670:udvaha:n:
pe:uDa,1359:uDa:n:
pe:unmatta,7724:unmatta:n:
pe:unmadA,7720:unmadA:n:
pe:unmATa,7722:unmATa:n:
pe:unmAdinI,7721:unmAdinI:n:
pe:upakfzRaka,7737:upakfzRaka:n:
pe:upakoSA,7735:upakoSA:n:
pe:upakosala,7736:upakosala:n:
pe:upagAha,7730:upagAha:n:
pe:upagupta,7732:upagupta:n:
pe:upacAra,7727:upacAra:n:
pe:upatyakA,7751:upatyakA:n:
pe:upadeva,7729:upadeva:n:
pe:upapurARa,7747:upapurARa:n:
pe:upaplavya,7746:upaplavya:n:
pe:upaplavya,7746:upaplavya:n:
pe:upabarhaRa,7726:upabarhaRa:n:
pe:upayAja,7758:upayAja:n:
pe:uparicaravasu,7748:uparicaravasu:n:
pe:upavIta,7755:upavIta:n:
pe:upaveRA,7754:upaveRA:n:
pe:upaveRA,7754:upaveRA:n:
pe:upaSruti,7750:upaSruti:n:
pe:upaSruti,7750:upaSruti:n:
pe:upaSloka,7749:upaSloka:n:
pe:upAya,7757:upAya:n:
pe:upAvftta,7756:upAvftta:n:
pe:upendrabala,7761:upendrabala:n:
pe:upendrA,7760:upendrA:n:
pe:upendrA,7760:upendrA:n:
pe:umA,7716:umA:n:
pe:urvaSItIrTa,7785:urvaSItIrTa:n:
pe:ulUka,7709:ulUka:n:
pe:ulUta,7715:ulUta:n:
pe:ulUpI,7714:ulUpI:n:
pe:uSaNku,7793:uSaNku:n:
pe:uSaNgava,7792:uSaNgava:n:
pe:uSIrabIja,7801:uSIrabIja:n:
pe:uzaNgu,7789:uzaNgu:n:
pe:uzaNgu,7789:uzaNgu:n:
pe:uzA,7786:uzA:n:
pe:uzwrakarRika,7809:uzwrakarRika:n:
pe:uzRadeSa,7805:uzRadeSa:n:
pe:uzRik,7807:uzRik:n:
pe:uzRigaNga,7806:uzRigaNga:n:
pe:uzRinABa,7808:uzRinABa:n:
pe:Uru,7778:Uru:n:
pe:Uru,7778:Uru:n:
pe:Urjja,7768:Urjja:n:
pe:Urjjayoni,7773:Urjjayoni:n:
pe:UrjjasvatI,7772:UrjjasvatI:n:
pe:UrjjasvatI,7772:UrjjasvatI:n:
pe:UrjjA,7767:UrjjA:n:
pe:UrRanABa,7776:UrRanABa:n:
pe:UrRA,7775:UrRA:n:
pe:UrRAyu,7777:UrRAyu:n:
pe:UrDvapuRqra,7765:UrDvapuRqra:n:
pe:UrDvapuRqra,7765:UrDvapuRqra:n:
pe:UrDvabAhu,7763:UrDvabAhu:n:
pe:UzmapA,7804:UzmapA:n:
pe:UzmA,7803:UzmA:n:
pe:UzmA,7803:UzmA:n:
pe:f,5580:f:n:
pe:fkzavAn,5757:fkzavAn:n:
pe:fkzaSfNga,5756:fkzaSfNga:n:
pe:fkzaSfNga,5756:fkzaSfNga:n:
pe:fkzA,5752:fkzA:n:
pe:fkzAmbikA,5754:fkzAmbikA:n:
pe:fgveda,5741:fgveda:n:
pe:fgveda,5741:fgveda:n:
pe:fcIka,136:fcIka:n:
pe:ftusTalA,5805:ftusTalA:n:
pe:fteyu,5801:fteyu:n:
pe:ftvik,5807:ftvik:n:
pe:fdDi,5727:fdDi:n:
pe:fdDimAn,5728:fdDimAn:n:
pe:fBu,5721:fBu:n:
pe:fzaBatIrTa,5784:fzaBatIrTa:n:
pe:fzaBadvIpa,5781:fzaBadvIpa:n:
pe:fzikulyA,5789:fzikulyA:n:
pe:fzigiri,5786:fzigiri:n:
pe:fzyaSfNga,5791:fzyaSfNga:n:
pe:e,2249:e:n:
pe:ekajawa,2266:ekajawa:n:
pe:ekajawA,2265:ekajawA:n:
pe:ekatvacA,2283:ekatvacA:n:
pe:ekapada,2273:ekapada:n:
pe:ekarAtratIrTa,2279:ekarAtratIrTa:n:
pe:ekalavya,2270:ekalavya:n:
pe:ekavIra,2285:ekavIra:n:
pe:ekaSfNga,2280:ekaSfNga:n:
pe:ekaSfta,2281:ekaSfta:n:
pe:ekahaMsatIrTa,2264:ekahaMsatIrTa:n:
pe:ekAkzarakoSa,2269:ekAkzarakoSa:n:
pe:ekAdaSatattva,2260:ekAdaSatattva:n:
pe:ekAdaSatejoguRa,2261:ekAdaSatejoguRa:n:
pe:ekAdaSapUjAsTAna,2258:ekAdaSapUjAsTAna:n:
pe:ekAdaSapUjAsTAna,2258:ekAdaSapUjAsTAna:n:
pe:ekAdaSamAnuzaDarma,2256:ekAdaSamAnuzaDarma:n:
pe:ekAdaSarudra,2259:ekAdaSarudra:n:
pe:ekAdaSasaNkaravarRa,2257:ekAdaSasaNkaravarRa:n:
pe:ekAdaSasaNkaravarRa,2257:ekAdaSasaNkaravarRa:n:
pe:ekAdaSADipati,2255:ekAdaSADipati:n:
pe:ekAvalI,2284:ekAvalI:n:
pe:eqI,2250:eqI:n:
pe:etaSa,2291:etaSa:n:
pe:eraka,2290:eraka:n:
