sch:aMSu,9:aMSu:n:
sch:ayeya,27942:ayeya:n:
sch:ayovikAra,4692:ayovikAra:n:
sch:ayoSana,4675:ayoSana:n:
sch:araRyaSvan,4720:araRyaSvan:n:
sch:araRyasad,27945:araRyasad:n:
sch:arAjanya,4755:arAjanya:n:
sch:arAjapaRya,27947:arAjapaRya:n:
sch:aruRamaRimahIBft,4797:aruRamaRimahIBft:n:
sch:aruRamaRI,27950:aruRamaRI:n:
sch:arkanetra,4838:arkanetra:n:
sch:arkabanDu,27951:arkabanDu:n:
sch:arjunaka,4867:arjunaka:n:
sch:arjunakIrti,27953:arjunakIrti:n:
sch:arjunapraRayin,4868:arjunapraRayin:n:
sch:arjunAgraja,27954:arjunAgraja:n:
sch:arjunArcapArijAta,4869:arjunArcapArijAta:n:
sch:arjunIyati,27955:arjunIyati:n:
sch:arTakilbizin,4882:arTakilbizin:n:
sch:arTakrama,27956:arTakrama:n:
sch:arTagrAhin,4885:arTagrAhin:n:
sch:arTacara,27957:arTacara:n:
sch:arTaSAstraka,4916:arTaSAstraka:n:
sch:arTasaMyoga,27958:arTasaMyoga:n:
sch:arDakarRa,4936:arDakarRa:n:
sch:arDakavi,27959:arDakavi:n:
sch:arDaKila,4940:arDaKila:n:
sch:arDagucCa,27961:arDagucCa:n:
sch:arDacandraka,4943:arDacandraka:n:
sch:arDacandracUqa,27963:arDacandracUqa:n:
sch:arDadvicaturaSraka,4946:arDadvicaturaSraka:n:
sch:arDanAkula,27964:arDanAkula:n:
sch:arDaniHsfta,4952:arDaniHsfta:n:
sch:arDanipIqita,4950:arDanipIqita:n:
sch:arDaPAlaka,4966:arDaPAlaka:n:
sch:arDabAhu,27965:arDabAhu:n:
sch:arDamaRqita,4972:arDamaRqita:n:
sch:arDamayUra,27966:arDamayUra:n:
sch:arDamArita,4974:arDamArita:n:
sch:arDamAzaka,27968:arDamAzaka:n:
sch:arDavaSA,4987:arDavaSA:n:
sch:arDavArAha,27969:arDavArAha:n:
sch:arDaSiras,4994:arDaSiras:n:
sch:arDaSulka,27970:arDaSulka:n:
sch:arDasamasyA,5000:arDasamasyA:n:
sch:arDasItikA,27972:arDasItikA:n:
sch:arDAvaBeda,5008:arDAvaBeda:n:
sch:arDAzwama,27974:arDAzwama:n:
sch:arDAsi,5009:arDAsi:n:
sch:arDAsikA,27975:arDAsikA:n:
sch:arbuDa,5022:arbuDa:n:
sch:arBa,27977:arBa:n:
sch:arhaka,5035:arhaka:n:
sch:arhaccUqAmaRi,27978:arhaccUqAmaRi:n:
sch:alakaBaYjana,5045:alakaBaYjana:n:
sch:alakADipa,27979:alakADipa:n:
sch:alakzmIka,5057:alakzmIka:n:
sch:alakzyajanman,5056:alakzyajanman:n:
sch:alaMkftiSAstra,5076:alaMkftiSAstra:n:
sch:alaMkriyA,27980:alaMkriyA:n:
sch:aliNgin,5120:aliNgin:n:
sch:alitaruRI,27981:alitaruRI:n:
sch:alepa,5136:alepa:n:
sch:aleSEja,27983:aleSEja:n:
sch:alokyatA,5138:alokyatA:n:
sch:alocana,27984:alocana:n:
sch:avakara,5180:avakara:n:
sch:avakarakUpikA,27985:avakarakUpikA:n:
sch:avakASatA,5187:avakASatA:n:
sch:avakIrRitA,27986:avakIrRitA:n:
sch:avakuRWana,5188:avakuRWana:n:
sch:avakuRqalita,27987:avakuRqalita:n:
sch:avakracetas,5197:avakracetas:n:
sch:avakrayin,27989:avakrayin:n:
sch:avakzAyam,5200:avakzAyam:n:
sch:avakzepa,27990:avakzepa:n:
sch:avagIti,5214:avagIti:n:
sch:avaguRWa,27993:avaguRWa:n:
sch:avagrAhin,5219:avagrAhin:n:
sch:avaGAwaka,27994:avaGAwaka:n:
sch:avaGrApaRa,5224:avaGrApaRa:n:
sch:avacaYcU,27995:avacaYcU:n:
sch:avacaraka,5226:avacaraka:n:
sch:avacAya,27998:avacAya:n:
sch:avacCedakatattvanirukti,5234:avacCedakatattvanirukti:n:
sch:avacCedana,27999:avacCedana:n:
sch:avaDika,5272:avaDika:n:
sch:avaDiBUDara,28003:avaDiBUDara:n:
sch:avaDeya,5277:avaDeya:n:
sch:avaDvaMsana,28004:avaDvaMsana:n:
sch:avanAma,5282:avanAma:n:
sch:avanAha,28005:avanAha:n:
sch:avanIndra,5296:avanIndra:n:
sch:avanIpa,28006:avanIpa:n:
sch:avanektar,5300:avanektar:n:
sch:avaneyiman,28007:avaneyiman:n:
sch:avanDya,5307:avanDya:n:
sch:avanDyakopa,28009:avanDyakopa:n:
sch:avayAj,5338:avayAj:n:
sch:avayAna,28010:avayAna:n:
sch:avaraBAgIya,5347:avaraBAgIya:n:
sch:avarAgin,28011:avarAgin:n:
sch:avaroha,5363:avaroha:n:
sch:avarga,28012:avarga:n:
sch:avalepin,5393:avalepin:n:
sch:avalepya,28013:avalepya:n:
sch:avaSya,5411:avaSya:n:
sch:avaSyakavandanAniryukti,28014:avaSyakavandanAniryukti:n:
sch:avasAnapati,5434:avasAnapati:n:
sch:avasAyaka,28016:avasAyaka:n:
sch:avasKalana,5444:avasKalana:n:
sch:avastAra,28017:avastAra:n:
sch:avahelana,5466:avahelana:n:
sch:avahelanA,28018:avahelanA:n:
sch:avANmuKa,5474:avANmuKa:n:
sch:avANmuKIna,28019:avANmuKIna:n:
sch:avikramaRa,5528:avikramaRa:n:
sch:avikraya,28020:avikraya:n:
sch:avigAna,5538:avigAna:n:
sch:avigIta,28022:avigIta:n:
sch:avicezwant,5549:avicezwant:n:
sch:avicCeditva,28024:avicCeditva:n:
sch:avin,5583:avin:n:
sch:avinata,28025:avinata:n:
sch:avinivartanIya,5590:avinivartanIya:n:
sch:avinItatA,28026:avinItatA:n:
sch:avipakva,5595:avipakva:n:
sch:avipakza,28027:avipakza:n:
sch:aviparyAsa,5599:aviparyAsa:n:
sch:aviparyAsita,28029:aviparyAsita:n:
sch:avipAwana,5601:avipAwana:n:
sch:avipratipatti,28030:avipratipatti:n:
sch:aviBAgin,5610:aviBAgin:n:
sch:aviBAvanIyatA,28031:aviBAvanIyatA:n:
sch:avimucyamAna,5626:avimucyamAna:n:
sch:avimfSya,28032:avimfSya:n:
sch:avihiMsant,5697:avihiMsant:n:
sch:avihita,28033:avihita:n:
sch:avEra,5726:avEra:n:
sch:avEritva,28034:avEritva:n:
sch:aSaNkam,5791:aSaNkam:n:
sch:aSaWatA,28035:aSaWatA:n:
sch:aSastravaDya,5811:aSastravaDya:n:
sch:aSastrita,28036:aSastrita:n:
sch:aSiraHsnAna,5827:aSiraHsnAna:n:
sch:aSiras,5826:aSiras:n:
sch:aSuBAtmaka,5856:aSuBAtmaka:n:
sch:aSulka,28037:aSulka:n:
sch:aSezas,5862:aSezas:n:
sch:aSezitakriya,28038:aSezitakriya:n:
sch:aSoka,5866:aSoka:n:
sch:aSokagrAmika,28039:aSokagrAmika:n:
sch:aSmaSAnacit,5887:aSmaSAnacit:n:
