mci:utpalAvata,1044:utpalAvata:n:
mci:utsavasaMketa,2141:utsavasaMketa:n:
mci:udapAna,1048:udapAna:n:
mci:udgAyana,860:udgAyana:n:
mci:udBrAnta,464:udBrAnta:n:
mci:udBrAnta,464:udBrAnta:n:
mci:udyant,1052:udyant:n:
mci:udyogaparvan,668:udyogaparvan:n:
mci:udrapAraga,37:udrapAraga:n:
mci:udrapAraga,37:udrapAraga:n:
mci:udvaha,2625:udvaha:n:
mci:udvaha,2625:udvaha:n:
mci:unnatyaka,2144:unnatyaka:n:
mci:upakIcaka,2145:upakIcaka:n:
mci:upajalA,1053:upajalA:n:
mci:upatakzaka,38:upatakzaka:n:
mci:upatyaka,2146:upatyaka:n:
mci:upananda,465:upananda:n:
mci:upanandaka,39:upanandaka:n:
mci:upanandaka,39:upanandaka:n:
mci:upaplavya,1869:upaplavya:n:
mci:upamanyor,1870:upamanyor:n:
mci:uparigiri,1054:uparigiri:n:
mci:upAvfSca,2148:upAvfSca:n:
mci:upendrA,1055:upendrA:n:
mci:uraga,2149:uraga:n:
mci:uraSA,1871:uraSA:n:
mci:uraSA,1871:uraSA:n:
mci:urvaSI,1056:urvaSI:n:
mci:ulUkadUtAgamana,670:ulUkadUtAgamana:n:
mci:ulUkASrama,1872:ulUkASrama:n:
mci:ulUpI,41:ulUpI:n:
mci:uSInara,2150:uSInara:n:
mci:uSInara,2150:uSInara:n:
mci:uSIrabIja,1058:uSIrabIja:n:
mci:uzRa,2151:uzRa:n:
mci:fkzavant,1059:fkzavant:n:
mci:fc,672:fc:n:
mci:fdDimant,42:fdDimant:n:
mci:fdDimant,42:fdDimant:n:
mci:fSyamUka,1060:fSyamUka:n:
mci:fzaBa,43:fzaBa:n:
mci:fzaBakUwa,1063:fzaBakUwa:n:
mci:fzika,2152:fzika:n:
mci:fzikulyA,1065:fzikulyA:n:
mci:fzivaMSa,673:fzivaMSa:n:
mci:fzyamUka,1068:fzyamUka:n:
mci:ekacakrA,1874:ekacakrA:n:
