pgn:rAmaka,149:rAmaka:n:
pgn:rAmadAsa,119:rAmadAsa:n:
pgn:riBupAla,95:riBupAla:n:
pgn:riSidatta,121:riSidatta:n:
pgn:rudradatta,30:rudradatta:n:
pgn:rudradAsa,110:rudradAsa:n:
pgn:rudradeva,31:rudradeva:n:
pgn:rudraBava,172:rudraBava:n:
pgn:rudrasoma,291:rudrasoma:n:
pgn:ruzwaSarmman,209:ruzwaSarmman:n:
pgn:ruzwaSarmman,209:ruzwaSarmman:n:
pgn:rUpaSarmman,208:rUpaSarmman:n:
pgn:revajjasvAmin,81:revajjasvAmin:n:
pgn:revatikAgrAma,405:revatikAgrAma:n:
pgn:rEvataka,481:rEvataka:n:
pgn:lakzmaRa,107:lakzmaRa:n:
pgn:lavaNgasikA,403:lavaNgasikA:n:
pgn:lAwa,348:lAwa:n:
pgn:lAwa,348:lAwa:n:
pgn:licCavis,323:licCavis:n:
pgn:licCavis,323:licCavis:n:
pgn:lIQaka,235:lIQaka:n:
pgn:vaNga,467:vaNga:n:
pgn:vawagohAlI,415:vawagohAlI:n:
pgn:vawagohAlI,415:vawagohAlI:n:
pgn:vawodaka,408:vawodaka:n:
pgn:vawodaka,408:vawodaka:n:
pgn:vatsaBawwi,164:vatsaBawwi:n:
pgn:vana,386:vana:n:
pgn:vampiyaka,242:vampiyaka:n:
pgn:vampiyaka,242:vampiyaka:n:
pgn:varadatta,100:varadatta:n:
pgn:vargga,97:vargga:n:
pgn:varggapAla,154:varggapAla:n:
pgn:vasumitra,259:vasumitra:n:
pgn:vasuSiva,213:vasuSiva:n:
pgn:vAwAnadI,478:vAwAnadI:n:
pgn:vAyigrAma,409:vAyigrAma:n:
pgn:vAyurakzita,73:vAyurakzita:n:
pgn:vAsaka,382:vAsaka:n:
pgn:vAsaka,382:vAsaka:n:
pgn:vAhlika,335:vAhlika:n:
pgn:vAhlika,335:vAhlika:n:
pgn:vijayanandin,128:vijayanandin:n:
pgn:vijayasena,78:vijayasena:n:
pgn:viRayadatta,111:viRayadatta:n:
pgn:vinDyAwavI,389:vinDyAwavI:n:
pgn:viprapAla,104:viprapAla:n:
pgn:vilAsinI,479:vilAsinI:n:
pgn:viSva,243:viSva:n:
pgn:viSvavarmman,57:viSvavarmman:n:
pgn:vizaya,343:vizaya:n:
pgn:vizaya,343:vizaya:n:
pgn:vizRu,156:vizRu:n:
pgn:vizRu,156:vizRu:n:
pgn:vizRugupta,14:vizRugupta:n:
pgn:vizRugopa,41:vizRugopa:n:
pgn:vizRudatta,123:vizRudatta:n:
pgn:vizRupada,484:vizRupada:n:
pgn:vizRupAlitaBawwa,262:vizRupAlitaBawwa:n:
pgn:vizRupAlitaBawwa,262:vizRupAlitaBawwa:n:
pgn:vizRuBadra,155:vizRuBadra:n:
pgn:vizRuvarDakikzetra,438:vizRuvarDakikzetra:n:
pgn:vihAra,422:vihAra:n:
pgn:vihAra,422:vihAra:n:
pgn:vITi,360:vITi:n:
pgn:vITi,360:vITi:n:
pgn:vIranAga,195:vIranAga:n:
pgn:vIrasena,67:vIrasena:n:
pgn:veNgI,457:veNgI:n:
pgn:vetravarman,83:vetravarman:n:
pgn:vEdyakzetra,439:vEdyakzetra:n:
pgn:vEdyakzetra,439:vEdyakzetra:n:
pgn:vEnyagupta,16:vEnyagupta:n:
pgn:vyAGrarAja,51:vyAGrarAja:n:
pgn:vyAsa,305:vyAsa:n:
pgn:Saka,333:Saka:n:
pgn:SaMkara,239:SaMkara:n:
pgn:SaRqaka,88:SaRqaka:n:
pgn:SarBarAja,50:SarBarAja:n:
pgn:SarBarAja,50:SarBarAja:n:
pgn:SarvvadAsa,176:SarvvadAsa:n:
pgn:SarvvanAga,89:SarvvanAga:n:
pgn:SarvvavizRu,223:SarvvavizRu:n:
pgn:SarvvavizRu,223:SarvvavizRu:n:
pgn:SaSinandin,125:SaSinandin:n:
pgn:SAmAQyA,313:SAmAQyA:n:
pgn:SAmbapAla,102:SAmbapAla:n:
pgn:SiKarasvAmin,82:SiKarasvAmin:n:
pgn:SivakuRqa,191:SivakuRqa:n:
pgn:SivakuRqa,191:SivakuRqa:n:
pgn:Sivanandin,150:Sivanandin:n:
pgn:SivaSarmman,267:SivaSarmman:n:
pgn:SukkraSarmman,210:SukkraSarmman:n:
pgn:SukkraSarmman,210:SukkraSarmman:n:
pgn:SuNkaka,153:SuNkaka:n:
pgn:SrIdatta,96:SrIdatta:n:
pgn:SrIdeva,187:SrIdeva:n:
pgn:SrInATa,197:SrInATa:n:
pgn:SrIBadra,152:SrIBadra:n:
pgn:zAhi,331:zAhi:n:
pgn:sagara,304:sagara:n:
pgn:saMgohalikagrAma,406:saMgohalikagrAma:n:
pgn:saMGadeva,186:saMGadeva:n:
pgn:saMGadeva,186:saMGadeva:n:
pgn:saMGila,167:saMGila:n:
pgn:sanakAnIka,334:sanakAnIka:n:
pgn:sanasidDa,293:sanasidDa:n:
pgn:samatawa,456:samatawa:n:
pgn:samudragupta,4:samudragupta:n:
pgn:samudragupta,4:samudragupta:n:
pgn:sarppapAlita,198:sarppapAlita:n:
pgn:sAwuvanASramaka,407:sAwuvanASramaka:n:
pgn:sABAwi,312:sABAwi:n:
pgn:sAhAnuzAhi,330:sAhAnuzAhi:n:
pgn:siMhatta,180:siMhatta:n:
pgn:siMhatta,180:siMhatta:n:
pgn:siMhanandin,126:siMhanandin:n:
pgn:sinDu,476:sinDu:n:
pgn:sukulideSa,357:sukulideSa:n:
pgn:sumeru,482:sumeru:n:
pgn:suraSmicandra,27:suraSmicandra:n:
pgn:surAzwra,341:surAzwra:n:
