aNgaRabAlanIpa:PD;15347
aNgatAboDa:PD;15396
aNgatAboDaka:PD;15397
aNgatAboDana:PD;15398
aNgatAsaMbanDa:PD;15403
aNgadOrbalya:PD;15616
aNganibadDa:PD;15739
aNganibanDa:PD;15740
aNgapraDAnasaMbanDa:PD;15913
aNgaprabADaka:PD;15929
aNgaprayojanasaMbanDa:PD;15941
aNgaPalasambanDa:PD;15957
aNgabadDa:PD;15958
aNgabanDa:PD;15959,SCH;608
aNgabanDana:MD;372,PD;15960,PW;945
aNgabanDura:PD;15961
aNgabarhis:PD;15962
aNgabala:PD;15963
aNgabalin:PD;15964,PW;946
aNgabAhulya:PD;15967
aNgabAhya:PD;15968
aNgabimba:PD;15969
aNgabIja:PD;15970
aNgaBUtasubrahmaRyA:PD;16031
aNgalabDi:PD;16239
aNgalubDa:INM;570,PD;16255
aNgaSabda:PD;16446
aNgasaMbadDa:PD;16572
aNgasaMbanDa:PD;16573
aNgasaMbanDaboDaka:PD;16574
aNgasaMbanDaboDana:PD;16576
aNgasaMbanDin:PD;16577
aNgANgisaMbanDa:PD;16762
aNgAdisaMbanDin:PD;16791
aNgAbADa:PD;16917
aNgAracumbita:PD;17025
aNgAlabDa:PD;17256
aNgibudDayudaya:PD;17362
aNgirAbda:PD;17408
aNgisaMbanDa:PD;17444
aNgulIbila:PD;17989
aNgulIyakanibadDa:PD;18019
aNgulIyakabuButsA:PD;18023
aNgulotsebasaMyukta:PD;18108
aNguzWanizwabDA:PD;18221
aNguzWabanDa:PD;18274
aNguzWabanDana:PD;18275
aNguzWabanDAYcita:PD;18276
aNguzWabila:PD;18277
aNguzWamAtrabrahman:PD;18306
aNguzWAgracumbita:PD;18381
aNguzWAgrasaMbanDa:PD;18395
aNguzWAbja:PD;18432
aNgopabfMhita:PD;18502
aNgopANganibanDana:PD;18519
aNGribalA:PD;18638
aNGryabja:PD;18704
acaturbAhu:PD;18803
acaladbudDi:PD;18927
acalanitamba:PD;18947
acalanibanDa:ACC;181
acalabala:PD;18968
acalabalASraya:PD;18969
acAkzuzArabDa:PD;19155
acApalabala:PD;19171
acitsaMbanDa:PD;19299
acitsaMbanDana:PD;19300
acitsaMbanDitA:PD;19301
acintitabADA:PD;19390
acintyabala:PD;19459
acintyabahukIwa:PD;19460
acintyabudDamAhAtmya:PD;19461
acintyabudDi:PD;19462
acintyabudDisAra:PD;19463
acintyAScaryabfMhita:PD;19530
acirakAlasaMbanDa:PD;19562
acirABisaMbudDa:PD;19714
acIrRabrahmacarya:PD;19759
acumba:PD;19767
acumbita:PD;19768
acumbitamati:PD;19769
acumbitAntaHkaraRa:PD;19770
acumbitArTa:PD;19771
acumbitolleKa:PD;19773
acetanArabDa:PD;19907
acetanEkyaboDana:PD;19923
acCakapolabimba:PD;20035
acCawaSabda:PD;20066
acCawASabda:MW;1866.1,PD;20068,SCH;733
acCapayobDi:PD;20129
acCambawkAra:PW;1166
acCambawkAram:PD;20158,SCH;743
acCambawkArAya:MW;1866.4
acCambawkArin:PD;20159
acCaSabda:PD;20203
acCAtaniSAtabudDi:PD;20239
acCAbilI:PD;20257
acCAbrU:MW;1877,PD;20258
acCAmbupUta:PD;20261
acCidradehabanDa:PD;20326
acCinnabanDa:PD;20403
acyutabala:PD;20591
acyutabIja:PD;20592
acyutabrahmacarya:PD;20593
acyutaSabda:PD;20641
acyutAtmakapAdAbjA:PD;20671
acyutAmbara:PD;20687
acSabda:PD;20734
acsaMbanDa:PD;20738
aCambawkAra:PD;20743
aCambawkAram:PD;20744
ajakambala:PD;20757
ajaqaboDa:PD;20880
ajaqasaMbanDin:PD;20886
ajabakumArI:PD;21108
ajabanDana:PD;21109
ajabanDu:PD;21110,SCH;798,VCP;699
ajabaBru:MW;1975,PD;21111,PW;1254,PWG;913
ajabasta:PD;21112,PUI;214,PW;1255
ajabasti:PD;21113
ajabADa:PD;21114
ajabindu:PD;21115,SCH;27714
ajabila:PD;21116
ajalambana:BUR;193,GST;870,MW;1992,PD;21317,PW;1277,PWG;934,SHS;553,VCP;710,YAT;487
ajalambanaM:SKD;494
ajasaMbanDa:PD;21405
ajasaMbanDaboDaka:PD;21406
ajAjIjambAla:PD;21582
ajAtadantabAla:PD;21625
ajAtabalA:PD;21665
ajAtabADa:PD;21666
ajAtabADaBrama:PD;21667
ajAtaboDakA:PD;21668
ajAtAmbu:PD;21745
ajAdisaMbanDa:PD;21811
ajAdeSasaMbanDa:PD;21819
ajAmbu:PD;21920
ajASabda:PD;21982
ajijYAsitaboDana:PD;22035
ajitakeSakambala:MW;2132,PD;22046,PW;1336,PWG;976
ajitabala:BHS;236,PD;22072
ajitabalA:GST;911,MW;2133,PD;22073,PW;1337,PWG;977
ajitabAhyAByantaHkaraRa:PD;22074
ajitabAhyAByantarakaraRa:PD;22075
ajitAKyatantrawIkAnibanDa:ACC;41747
ajitAjitapAdAbja:PD;22114
ajinAmbara:PD;22192
ajinAmbaraDArin:PD;22193
ajinAmbarapraDAraRa:PD;22194
ajinAmbarasaMyukta:PD;22195
ajihmaparabrahman:PD;22258
ajihmabrahmacArin:PD;22260
ajihmabrahman:PD;22261
ajIrRabADA:PD;22319
ajIrRasaMboDana:PD;22349
ajoqumbaraPalA:PW;1391
ajodumbaraPalA:PD;22503
ajJawAsaMjYastamba:PD;22528
ajYajanaboDanArTam:PD;22554
ajYadurboDasambanDA:PD;22595
ajYapraboDa:PD;22604
ajYabADa:PD;22610
ajYabAlikA:PD;22611
ajYabudDi:PD;22612
ajYaboDana:PD;22613
ajYaboDanArTa:PD;22614
ajYAtakriyAkartfsaMbanDa:PD;22680
ajYAtabanDu:PD;22889
ajYAtabAhu:PD;22891
ajYAtaboDaka:PD;22892
ajYAtabrahmakarman:PD;22894
ajYAtabrahman:PD;22896
ajYAtamuKyasaMbanDa:PD;22920
ajYAtaSabda:PD;22999
ajYAtasaMbanDa:PD;23028
ajYAtAnupalabDi:PD;23077
ajYAtArTaboDana:PD;23096
ajYAtArTaboDin:PD;23097
ajYAtArTasaMbanDaka:PD;23098
ajYAtArTopalabDi:PD;23107
ajYAnacitsaMbanDa:PD;23194
ajYAnajalabudDi:PD;23211
ajYAnatumba:PD;23247
ajYAnanibanDana:PD;23313
ajYAnapratibadDa:PD;23369
ajYAnapratibimbita:PD;23371
ajYAnapratibimbitatA:PD;23372
ajYAnaprAbalya:PD;23401
ajYAnabanDana:MW;2234,PD;23404,YAT;44462
ajYAnabahula:PD;23407
ajYAnabADana:PD;23408
ajYAnabAhulya:PD;23409
ajYAnabimbitA:PD;23410
ajYAnabIja:PD;23411
ajYAnabudDi:PD;23412
ajYAnaboDana:PD;23413
ajYAnaboDinI:ACC;236,MW;2234.1,PW;1408,PWG;62850
ajYAnabrahmahatyA:PD;23414
ajYAnamahAmburASi:PD;23440
ajYAnasambanDa:PD;23594
ajYAnasaMbanDin:PD;23595
ajYAnAdinibanDana:PD;23669
ajYAnAdipratibanDaka:PD;23677
ajYAnAdibADa:PD;23679
ajYAnAdisaMbanDa:PD;23692
ajYAnAnubanDa:PD;23752
ajYAnAntarasambanDa:PD;23760
ajYAnAbDi:PD;23783
ajYAnopahitabrahman:PD;23883
ajYAbADA:PD;23911
ajYAmbu:PD;23913
ajYopaboDa:PD;23945
aYcitacumbana:PD;24065
aYcitamarudbala:PD;24103
aYjanaqabbaqaka:PD;24227
aYjanabala:PD;24280
aYjanabAzpabindu:PD;24281
aYjanabindu:PD;24282
aYjanasabrahmacArin:PD;24357
aYjanasambanDin:PD;24360
aYjanAnupalabDi:PD;24419
aYjanABAmbara:PD;24431
aYjanAmbudasaMkASa:PD;24434
aYjalicumbitacUqa:PD;24505
aYjalibadDa:PD;24541
aYjalibanDa:PD;24542
aYjalibanDana:GST;996,MW;2328,PD;24543,SHS;612,WIL;613
aYjalibanDasaMpad:PD;24544
aYjalisambadDa:PD;24578
aYjalihastabanDa:PD;24582
aYbADana:PD;24656
awAbanta:PD;24833
awAbantasAhacarya:PD;24834
awwastabakayuj:PD;24891
awwahAsaSabda:PD;24925
awwahAsasambanDa:PD;24927
awwAlikAbanDa:GST;1043,PD;24958,PWG;1125
awwAlikAbanDam:MW;2379,PD;24959,PW;1508
aqabIla:ACC;241
aqambara:INM;131,PD;25009
aqihanaMbi:PD;25033
aRakapadabanDa:PD;25089
aRutarabindumAlA:PD;25301
aRubindu:PD;25418
aRubimba:PD;25419
aRubIja:PD;25421
aRumaDyabIja:ACC;246,MW;2425
aRumAtraSabdAMSa:PD;25454
aRuSabda:PD;25517
aRuSabdopanizad:ACC;251
aRqabahirBUta:PD;25678
aRqabAhulya:PD;25679
aRqabAhya:PD;25680
aRqabAhyasTa:PD;25682
aRqabAhyA:PD;25681
aRqabilA:ACC;252
aRqabilAsTAkArIrIzwi:ACC;41753
aRqayoHstabDa:PD;25701
aRbADaka:PD;25818
aRbADanArTa:PD;25819
aRsaMbadDa:PD;25859
ataHSabda:PD;26740
ataHSabdaparAmarSa:PD;26741
ataHSabdaSiraska:PD;26746
ataHSabdasAmarTya:PD;26748
ataHSabdasUcita:PD;26749
ataHSabdAprayoga:PD;26752
ataHSabdArUQa:PD;26753
ataHSabdArTa:PD;26754
ataHSabdArTatA:PD;26755
ataHSabdokta:PD;26759
ataHSabdopAdAna:PD;26760
atacCabda:PD;25893,SCH;923
atatsambadDa:PD;26085
atatsambanDin:PD;26087
ataTAboDa:PD;26125
atadanubanDaka:PD;26175
atadAlamba:PD;26221
atadAlambana:PD;26222
atadbudDi:PD;26287
atadbudDiBAj:PD;26288
atanutantrabanDa:PD;26414
