1-0456a:agraRyatama:58252,58253:agranya-tama:agranyatama
1-0456b:agratalasaMcara:58280,58286:agratala-san3cara:agratalasaNcara
1-0459a:agratyAga:58645,58646:agra-tyaga:agratyaga
1-0459b:agradAtf:58699,58701:agra-da1t2r:agradAwr
1-0461a:agratibadDapaNkaja:58866,58868:agranibaddha-pan3kaja:agranibadDapaNkaja
1-0462b:agrapARi:59070,59078:agra-pa1n2i1:agrapARI
1-0463b:agraprakxti:59182,59184:agra-prakl2pti:agraprakxpti
1-0473a:agrahastANguri,-rI:60407,60408:agra-hasta1n3guri, -i1:agrahastANguri, I
1-0473a:agrahastANguli,-lI:60409,60411:agra-hasta1n3guli,-i1:agrahastANguli,I
1-0473a:agrahAyaRezwi:60424,60424:agraha1yan2es2t2i1:agrahAyaRezwI
1-0473b:agrahAradvija:60486,60487:a1graha1ra-dvija:AgrahAradvija
1-0474b:agrAgropavfttaka:60607,60609:agra1gro'pavr2ttaka:agrAgro'pavftaka
1-0476b:agrAmyAkfti:60847,60849:a-gra1yma1kr2ti:agrAymAkfti
1-0479a:agri:61186,61190:agri1:agrI
1-0479a:agrima:61193,61228:agr-ima14:agrimA
1-0481b:agrimADikamAsavat:61503,61505:agrima1dhi1kama1sa-vat:agrimADIkamAsavat
1-0482b:agragAmikA:61651,61652:agre-ga1mika1:agregAmikA
1-0483b:agrediDizUpati:61766,61781:agredihhi1s2u1-pati:agredihhIzUpati
1-0484a:agraBrU:61820,61822:agre-bhru1:agreBrU
1-0486a:agryagIrvARa:62077,62080:agrya-gun2a:agryaguRa
1-0487a:agryayIni:62183,62185:agrya-yoni:agryayoni
1-0487a:agryasaMgraha:62219,62220:agraya-san3graha:agrayasaNgraha
1-0489b:aGajanita:62511,62512:agha-jani1ta:aGajanIta
1-0494b:aGalaGata:63168,63170:aghala-gha1ta:aGalaGAta
1-0495a:aGaviDAtakartf:63214,63216:aghavigha1ta-kartr2:aGaviGAtakartf
1-0495b:aGaSaMsahan:63301,63303:aghas4an3sa-ha4n:aGaSaNsahan
1-0503a:aGnya:64236,64249:a4-ghnya, a-ghnya4:aGnya, aGnya
1-0503a:aGnyA:64250,64282:a4-ghnya1, a-ghnya14:aGnyA, aGnyA
