shs:bahfpatra,28595:bahupatra:t:hfp
acc:bahvfcopanizad,14890:bahvfcopanizad:n:fco
sch:bUwa,20299:bUwa:n:bUw
pwg:bUvaSarman,52974:bUvaSarman:n:bUv
pui:bOtyas,9216:bOtyas:n:bOt
inm:brahmaRohas,1767:brahmaRohas:n:Roh
pe:brAhmaRippAwwu,1269:brAhmaRippAwwu:n:ppA
sch:broqana,20384:broqana:n:bro
pui:brhadraTa,9174:bfhadraTa:t:brh
pe:BadrakAlippAwwu,976:BadrakAlippAwwu:n:ppA
acc:BImasenEkAdaSIkaTA,35312:BImasenEkAdaSIkaTA:n:enE
pe:Bujakewu,1187:Bujaketu:t:kew
pe:BfSuRqi,1185:BfSuRqi:n:fSu
pw:Bepura,80894:BeMpura:t:Bep
pgn:Boyila,228:Boyila:n:yil
shs:BOBaratna,29876:BOmaratna:t:BOB
skd:BnAsa,25522:BnAsa:n:BnA
acc:maNgalArTazawka,40654:maNgalArTazawka:n:Taz
bhs:manesI,11552:manesI:n:esI
acc:mantrapArAyaRevidyArTadIpikA,16846:mantrapArAyaRevidyArTadIpikA:n:Rev
ben:mayUsva,11001:mayUKa:t:yUs
yat:maraRABiBuKa,29137:maraRABimuKa:t:BuK
wil:mahAmEca,29922:mahAmEtra:t:mEc
acc:mahArAjaSyAmasAhfSaNkara,25774:mahArAjaSyAmasAhSaNkara:t:hfS
pui:mARqvya,10566:mARqvya:n:qvy
acc:mATurIkroqawIkAnyAyaratna,17536:mATurIkroqawIkAnyAyaratna:n:qaw
pui:mATElya,10596:mATElya:n:ATE,TEl
pui:muKevilA,10840:muKevilA:n:Kev
acc:muhUrtakalpadrumoyasaMkrAntisaMjYakusuma,35811:muhUrtakalpadrumIyasaMkrAntisaMjYakusuma:t:moy
ccs:mfQAnI,19161:mfqAnI:p:Alphabetic misordering.
shs:mfzAGAdin,32055:mfzAvAdin:t:GAd
mci:medraTA,1563:medraTA:n:edr
pui:merhAtiTi,11031:medhAtiTi:p:erh
pw:mOwya,89175:mOwya:n:mOw
stc:yAcaYA,17123:yAcYA:t:aYA
md:yAsIzwa,14846:yAsIzwa:n:sIz
pw:yuvadDevatya,91188:yuvaddevatya:t:Dev
shs:raktaposta,32946:raktaposta:n:pos
bhs:ratnaSiKarArciHparvatapradIpa,12664:ratnaSiKarArciHparvatapradIpa:n:ciH
bhs:ratnArciHparvata,12690:ratnArciHparvata:n:ciH
bhs:ratnArciHparvataSrIteja,12691:ratnArciHparvataSrIteja:n:ciH
acc:rAmajIsena,20041:rAmajIsena:n:jIs
pui:rODras,11844:rODras:n:ODr
pe:rOBya,5708:rEBya:t:Alphabetic misordering + other dictionaries have only rEBya as name of a man.
mw72:rOmaSiya,39970:rOmaSIya:t:Siy
mw72:laliTa,40213:laliTa:n:liT
pui:lavaRogaRa,11934:lavaRogaRa:n:Rog
cae:lavaRoDi,27516:lavaRodaDi:t:Wrong joining of -Di.
bhs:lavuruka,12973:lavuruka:n:avu
bur:lileKizAmi,14494:lileKizAmi:n:Kiz
bhs:loQaka,13092:loQaka:n:loQ
yat:loQA,32571:lIQA:t:loQ
pui:loheyI,12046:loheyI:n:ohe
acc:vagalAmuKItrElokyavijayakavaceSa,46430:vagalAmuKItrElokyavijayakavaceSa:n:KIt
bhs:vajrArciHSrIvatsAlaMkAragarBa,13210:vajrArciHSrIvatsAlaMkAragarBa:n:ciH
bhs:varalakzaRaHSiri,13295:varalakzaRaHSiri:n:RaH
acc:varKeqitimmaRRa,9060:varKeqitimmaRRa:n:rKe
pwg:varRarpuzpa,88444:varRapuzpa:t:rpu
acc:vAYCeSvarahoSanikarRAwaka,21769:vAYCeSvarahoSanikarRAwaka:n:hoS
shs:vAWyA,35792:vAwyA:t:vAW. Explanation has 'vAwI'.
pui:vAqohali,12124:vAqohali:n:qoh
vcp:vAmalovanA,41100:vAmalovanA:n:lov
sch:vAraRabUsA,23525:vAraRabUsA:n:UsA
sch:vAraRavusA,23526:vAraRavusA:n:avu,vus
bur:vAvrajmi,15118:vAvrajmi:n:jmi
bhs:vASIcandanakalpa,13562:vASIcandanakalpa:n:SIc
pui:vAsiKyas,12653:vAsiKyas:n:siK
bhs:vAsIcandanakalpa,13578:vAsIcandanakalpa:n:sIc
acc:viwuWalanATa,46617:viwuWalanATa:n:iwu,wuW
bur:viDUnomi,15455:viDUnomi:n:Uno
shs:viDepada,36845:viDepada:n:Dep
ccs:vipratibeDa,22616:vipratibeDa:n:beD
acc:vivAhesaMdehadozOzaDa,41138:vivAhesaMdehadozOzaDa:n:ozO,hes
pui:viSvaSfjas,13244:viSvaSfjas:n:Sfj
bur:vizkaBnomi,15882:vizkaBnomi:n:Bno
bur:vistaBnomi,15922:vistaBnomi:n:Bno
ccs:vistIrDA,23165:vistIrDA:n:IrD
inm:vudvudA,12391:vudvudA:n:dvu
sch:vfndAwavI,24384:vfndAwavI:n:dAw
pui:vERoya,13651:vERoya:n:Roy,ERo
pui:vEzWiya,13788:vEzWiya:n:Wiy
ccs:vEhUlya,23671:vEhUlya:n:EhU
ap90:vogin,26910:vogin:n:vog
vcp:voSi,42584:voSi:n:voS
ccs:voSezin,22958:voSezin:n:voS
bhs:vosArayati,14612:vosArayati:n:vos
bur:vyADUnomi,16380:vyADUnomi:n:Uno
mci:Santanos,1722:Santanos:n:nos
pui:SamfTa,14119:SamfTa:n:mfT
bhs:SAWiya,14912:SAWiya:n:Wiy
acc:SAWyopanizad,24805:SAWyopanizad:n:Wyo
acc:SiGraboDa,47274:SiGraboDa:n:SiG
pui:SiGrya,14400:SiGrya:n:SiG
pe:SiyAli,6661:SiyAli:n:Siy
pui:SudDOdana,14640:SudDOdana:n:DOd
bhs:SuBesTitA,15137:SuBesTitA:n:Bes
sch:SfNgibera,25243:SfNgibera:n:gib
pui:SEByAs,14749:SEByAs:n:SEB
bhs:SEyyA,15184:SEyyA:n:SEy
pui:SElUja,14755:SElUja:n:lUj
pui:SElUsa,14756:SElUsa:n:lUs
ben:ScyuT,14952:ScyuT:n:yuT
pw:SyOnaHSyepa,114797:SyOnaHSyepa:n:SyO
acc:SrIBImakAYcIvillIya,47423:SrIBImakAYcIvillIya:n:IBI
ccs:Svabfti,25308:Svabfti:n:bft
pui:SvaSfpa,15012:SvaSfpa:n:Sfp
sch:zaQAnya,25474:zaQAnya:n:zaQ
pwg:zIqIy,122427:zIqIy:n:zIq
mw72:saNgfByA,48566:saNgfByA:n:fBy
ccs:saMgrhin,25799:saMgrhin:n:grh
pw:saMGAdiSeza,117728:saMGAdiSeza:n:GAd
inm:saptEDas,9510:saptEDas:n:ptE
bhs:samantakusumArciHpralambacUqa,15875:samantakusumArciHpralambacUqa:n:ciH
bhs:samanteryApaTa,15960:samanteryApaTa:n:ery
bhs:saMpravutta,16282:saMpravutta:n:avu
wil:samPAsna,40935:samPAsna:n:PAs
inm:sarvanAgaripuDvaja,9639:sarvanAgaripuDvaja:n:puD
mw72:sasfvas,51601:sasfvas:n:sfv
pui:sahEzikas,15719:sahEzikas:n:hEz
sch:sArastanIkEtavakOtuka,26463:sArastanIkEtavakOtuka:n:IkE
bur:sisIzAmi,18583:sisIzAmi:n:sIz
bur:sIzape,18615:sIzape:n:sIz
inm:suHSala,10213:suHSala:n:suH
acc:sudarSanasaMhitAyAMpaYcamuKihanumatkavaca,47876:sudarSanasaMhitAyAMpaYcamuKihanumatkavaca:n:Kih
yat:surayuTapAri,42124:surayuTapAri:n:yuT
pui:suvarRakewakas,16536:suvarRakewakas:n:kew
pgn:sUrInASIrampUrRRekakzetra,436:sUrInASIrampUrRRekakzetra:n:RRe
bhs:seKayati,17281:seKayati:n:seK
sch:sejavAlI,26944:sejavAlI:n:sej
pui:sEzirIwi,16760:sEzirIwi:n:sEz
pui:sOwi,16821:sOwi:n:sOw
pw:sOhva,130227:sOhva:n:Ohv
pwg:statipuWika,113679:statipuWika:n:puW
bur:steGayAmi,19169:steGayAmi:n:teG
cae:sTEya,38565:sTEya:n:TEy
ccs:spfhRIya,28755:spfhRIya:n:hRI
cae:sPaya,38719:sPaya:n:Pay
bhs:sPUwa,17490:sPUwa:n:PUw
sch:svargesad,27313:svargesad:n:ges
shs:hawwavOraka,46487:hawwavOraka:n:vOr
wil:haraSesvarA,43961:haraSesvarA:n:Ses
yat:hfdayAbiD,44223:hfdayAbiD:n:biD
pw:hoSanikarRAwakavAYCeSvara,135621:hoSanikarRAwakavAYCeSvara:n:hoS
inm:hrdikasuta,4552:hrdikasuta:n:hrd
