pui:अकारादिक्षकारान्तवर्णमूर्ति,11:अकारादिक्षकारान्तवर्णमूर्ति:n:र्ति
mw72:बाध्योगायण,34589:बाध्योगायण:n:ध्यो
bur:बुबोधिषामि,12563:बुबोधिषामि:n:बुब्
mw:बृहच्छिरस्,146071.1:बृहच्छिरस्:n:छिर्
inm:ब्रह्मप्रश्नानुशासन,1774:ब्रह्मप्रश्नानुशासन:n:श्ना
bhs:भग्नपृष्ठीकरोति,11111:भग्नपृष्ठीकरोति:n:ठीक्
mw:भाण्डोपपुराण,149821:भाण्डोपपुराण:n:डोप्
mw:भावैकरस,150339:भावैकरस:n:आवै
acc:भावैरङ्करितपद्यटीका,35278:भावैरङ्करितपद्यटीका:n:आवै
vcp:भूनिम्बाद्य,36805:भूनिम्बाद्य:n:बाद्
pw:मथितोस्,82085:मथितोस्:n:तोस्
mw72:मधुष्ठीक,36305:मधुष्ठीक:n:ठीक्
bur:मन्दोभूत,13037:मन्दोभूत:n:दोभ्
mci:मर्तिकावत,2458:मर्तिकावत:n:र्ति
pui:मलवर्तिकस्,10274:मलवर्तिकस्:n:र्ति
acc:महज्ज्ञानप्रश्नावली,35530:महज्ज्ञानप्रश्नावली:n:श्ना
bhs:महावैस्तार,11868:महावैस्तार:n:आवै
acc:महिम्नःस्तव,17370:महिम्नःस्तव:n:ःस्त्
acc:महिम्नःस्तोत्र,35637:महिम्नःस्तोत्र:n:ःस्त्
acc:महिम्नःस्तोत्रंरामस्य,17372:महिम्नःस्तोत्रंरामस्य:n:ःस्त्
mw:मायावादखण्डविवरण,163147.3:मायावादखण्डविवरण:n:दख्
acc:मुकुन्दभट्टगाडगिल,17895:मुकुन्दभट्टगाडगिल:n:गाड्
acc:मुहूर्तकल्पद्रुमीयसंक्रान्तिसंज्ञकुसुम,18048:मुहूर्तकल्पद्रुमीयसंक्रान्तिसंज्ञकुसुम:n:उमी
mw:मुहूर्तकल्पद्रुमीयसंक्रान्तिसंज्ञाकुसुम,166070.1:मुहूर्तकल्पद्रुमीयसंक्रान्तिसंज्ञाकुसुम:n:उमी
mw:मूलमाथुरीय,166420:मूलमाथुरीय:n:आथु
pui:मृगषीर्ष,10952:मृगषीर्ष:n:अषी
mw:मेघावतत,167707:मेघावतत:n:घाव्
pui:मौहूर्तिकी,11115:मौहूर्तिकी:n:र्ति
inm:यक्षरक्षोधिप,12546:यक्षरक्षोधिप:n:षोध्
ccs:यद्दृत्त,19618:यद्दृत्त:n:द्दृ
sch:यागेश्वर,22200:यागेश्वर:n:आगे
bur:युयूषामि,13858:युयूषामि:n:उयू
pw:योतोस्,91493:योतोस्:n:तोस्
pwg:रजडद्वास,83007:रजडद्वास:n:जड्
mw:रन्तोस्,175085:रन्तोस्:n:तोस्
pui:रविमूर्तिस्,11511:रविमूर्तिस्:n:र्ति
acc:रामनारायणभट्टाचार्यचक्रवर्तिन्,20123:रामनारायणभट्टाचार्यचक्रवर्तिन्:n:र्ति
acc:रावराजविनयसिंहकीर्तिरथ,40967:रावराजविनयसिंहकीर्तिरथ:n:र्ति
bur:रिर्ये,14140:रिर्ये:n:र्ये
pw:रेभाय्,94830:रेभाय्:n:एभा
acc:लक्षवर्तिदीपप्रयोग,36555:लक्षवर्तिदीपप्रयोग:n:र्ति
acc:लक्ष्मणमाथुरकायस्थवंश,20782:लक्ष्मणमाथुरकायस्थवंश:n:आथु
pw:वज्जडदेव,97407:वज्जडदेव:n:जड्
pui:वरमूर्तिस्,12231:वरमूर्तिस्:n:र्ति
bhs:वर्तितार्थ,13343:वर्तितार्थ:n:र्ति
pw:वस्तोस्,99611:वस्तोस्:n:तोस्
mw72:वितर्तुराण,42696:वितर्तुराण:n:र्तु
acc:विद्वन्मोदतरङ्गिणी,22368:विद्वन्मोदतरङ्गिणी:n:न्मो
bur:विनिवर्ते,15497:विनिवर्ते:n:र्ते
bur:विनिषूदे,15504:विनिषूदे:n:षूद्
acc:विमर्शाधिरोह,22485:विमर्शाधिरोह:n:शाध्
bhs:विवर्तिय,14193:विवर्तिय:n:र्ति
bur:विवर्तिषे,15764:विवर्तिषे:n:र्ति
bur:विवर्ते,15763:विवर्ते:n:र्ते
sch:विव्रणयिषो,24132:विव्रणयिषो:n:इषो
acc:विश्वनाथदीक्षितजडे,22741:विश्वनाथदीक्षितजडे:n:जड्
ccs:विषजिहू,23062:विषजिहू:n:इहू
ccs:विहूत्,23210:विहूत्:n:इहू
acc:शतपथब्राह्मणानुवाकसंख्या,47070:शतपथब्राह्मणानुवाकसंख्या:n:थब्
sch:शतमखीभाव,24767:शतमखीभाव:n:खीभ्
mw:शतयूध,212299:शतयूध:n:यूध्
mw72:शर्धित्वा,46224:शर्धित्वा:n:र्धि
pui:शलामुखीयक,14206:शलामुखीयक:n:खीय्
mw:शस्त्रामयार्ति,214625:शस्त्रामयार्ति:n:र्ति
mw:शाकद्वीपीय,214683:शाकद्वीपीय:n:ईपी
acc:शास्त्रैक्यवाद,37735:शास्त्रैक्यवाद:n:रैक्
acc:शिरौपनिषद्,25043:शिरौपनिषद्:n:इरौ
mw:शिवाख्य,217869:शिवाख्य:n:वाख्
skd:शीषंघाती,35901:शीषंघाती:n:शीष्
inm:शुकप्रश्नाभिगमन,2811:शुकप्रश्नाभिगमन:n:श्ना
cae:शुशूषक,32905:शुशूषक:n:शूष्
cae:शुशूषा,32907:शुशूषा:n:शूष्
cae:शुशूषित,32908:शुशूषित:n:शूष्
cae:शुशूषिन्,32909:शुशूषिन्:n:शूष्
mw:शृङ्गाग्रप्रहरणाभिमुख,220576:शृङ्गाग्रप्रहरणाभिमुख:n:गाग्
mw:षोडशर्तुनिशा,225449:षोडशर्तुनिशा:n:र्तु
bur:संसनीष्यन्दे,18297:संसनीष्यन्दे:n:ईष्य्
pw:संस्थातोस्,117043:संस्थातोस्:n:तोस्
sch:सकलर्तुचक्रवर्तिन्,25568:सकलर्तुचक्रवर्तिन्:n:र्तु,र्ति
mw72:सङ्कीर्तित,48430:सङ्कीर्तित:n:र्ति
bur:सङ्कीर्ये,17279:सङ्कीर्ये:n:र्ये
