bhs:अकम्पिय,14:अकम्पिय:n:पिय्
sch:टिरिटिल्लित,14126:टिरिटिल्लित:n:रिट्
mw:तण्ड्यायनी,83760:तण्ड्यायनी:n:ड्या
pe:ताटकायन,7530:ताटकायन:n:ताट्
pw:ताटकेय,45104:ताटकेय:n:ताट्
sch:ताटावचर,14428:ताटावचर:n:ताट्
bur:तिष्टिगिषे,7972:तिष्टिगिषे:n:गिष्
pui:तुलसीदामभूषण,5522:तुलसीदामभूषण:n:ईदा
inm:तुलाधारजाजलिसंवाद,11014:तुलाधारजाजलिसंवाद:n:जाज्
acc:तुलुवनादोत्पत्ति,9178:तुलुवनादोत्पत्ति:n:लुव्
mci:तृणसोमाग्नेर्,1920:तृणसोमाग्नेर्:n:नेर्
pw:तोताद्रि,47050:तोताद्रि:n:ओता
skd:त्रिखट्टी,15508:त्रिखट्टी:n:ट्टी
pui:त्रिशिखिर,5687:त्रिशिखिर:n:खिर्
vcp:त्वम्पदवाच्यार्थ,24021:त्वम्पदवाच्यार्थ:n:च्या
acc:दत्तात्रेयाष्टोत्तरशतनामन्,9615:दत्तात्रेयाष्टोत्तरशतनामन्:n:याष्
sch:दरिहडा,15165:दरिहडा:n:हड्
bur:दादृहाण,8572:दादृहाण:n:दृह्
sch:दुःशकुनीभू,15556:दुःशकुनीभू:n:नीभ्
bur:दुदुक्षामि,8795:दुदुक्षामि:n:दुद्
bur:दुदूषामि,8796:दुदूषामि:n:दुद्
bur:दुद्यूषयामि,8797:दुद्यूषयामि:n:दुद्
inm:दुरुर्दुद,3792:दुरुर्दुद:n:दुद्
pw:दुर्घर्षा,51163:दुर्घर्षा:n:उर्घ्
sch:दुर्दिनीभूत,15511:दुर्दिनीभूत:n:नीभ्
pui:दृश्यामेघास्,6151:दृश्यामेघास्:n:एघा
pe:देवभागश्रौतार्ष,1798:देवभागश्रौतार्ष:n:औता
acc:देवीभक्तिरसोल्लास,10344:देवीभक्तिरसोल्लास:n:ओल्ल्,सोल्
vcp:देशाखो,26114:देशाखो:n:आखो
acc:दैन्याष्टक,44091:दैन्याष्टक:n:याष्
inm:द्रुपददुहितृपुत्र,3705:द्रुपददुहितृपुत्र:n:ऋपु
pw:द्वादशज्योतिर्लिङ्गमय,53668:द्वादशज्योतिर्लिङ्गमय:n:र्लि
vcp:द्विदण्ड्यादि,26690:द्विदण्ड्यादि:n:ड्या
ccs:द्वैधिभाव,10806:द्वैधिभाव:n:ऐधि
acc:धनंकरीसारणी,44142:धनंकरीसारणी:n:ईसा
bhs:धर्मधात्वर्चिवैरोचनसंभवमति,7773:धर्मधात्वर्चिवैरोचनसंभवमति:n:इवै
bhs:धर्मपद्मश्रीकुशला,7785:धर्मपद्मश्रीकुशला:n:ईकु
mw:धौताञ्जली,102112:धौताञ्जली:n:औता
mw:धौतापाङ्ग,102114:धौतापाङ्ग:n:औता
pw:नडनेरी,56411:नडनेरी:n:नेर्
pw:नदीकुकुट्टिका,56465:नदीकुकुट्टिका:n:ईकु
ccs:नमस्कुति,11508:नमस्कुति:n:स्कु
acc:नवनीतप्रियाष्टक,33961:नवनीतप्रियाष्टक:n:याष्
pe:नवव्यूहार्चन,4789:नवव्यूहार्चन:n:ऊहा
acc:नव्यमुक्तिवादटिप्पणी,11296:नव्यमुक्तिवादटिप्पणी:n:दट्
mw:नव्यमुक्तिवादटिप्पनी,104605:नव्यमुक्तिवादटिप्पनी:n:दट्
mw:नष्टरूपी,104800:नष्टरूपी:n:ऊपी
mw:नानापक्षिगणाकीर्ण,105546:नानापक्षिगणाकीर्ण:n:षिग्
bhs:निःप्,8203:निःप्:n:इःप्
mw:नित्यार्थसामान्यपञ्चपठी,108441:नित्यार्थसामान्यपञ्चपठी:n:अठी
