bur:बिभ्राशिषे,12539:बिभ्राशिषे:n:बिभ्
sch:बिम्बायमान,20247:बिम्बायमान:n:बाय्
mw:बिष,145349.1:बिष:n:बिष्
acc:बुधबृहस्पतिपूजा,15168:बुधबृहस्पतिपूजा:n:अबृ
bur:ब्रवीमि,12599:ब्रवीमि:n:ईमि
ccs:भाण्ड्वाद्य,17307:भाण्ड्वाद्य:n:ड्वा
skd:भुजङ्गभोजी,25152:भुजङ्गभोजी:n:ओजी
acc:मङ्गलगौरीस्तोत्र,40653:मङ्गलगौरीस्तोत्र:n:ईस्त्
mw:मथुरानाथीय,155233.4:मथुरानाथीय:n:थीय्,आथी
mw72:मदयितुनु,36258:मदयितुनु:n:उनु
mw:मष्यभावात्,159056:मष्यभावात्:n:अष्य्
bhs:महामेघश्रीतेज,11815:महामेघश्रीतेज:n:ईते
acc:महिषीमर्दिनीस्तव,45612:महिषीमर्दिनीस्तव:n:ईस्त्
mw:माडव्यसंहिता,162152:माडव्यसंहिता:n:माड्
acc:माथुरानाथी,45653:माथुरानाथी:n:आथी
skd:मुद्गभोजी,27587:मुद्गभोजी:n:ओजी
pui:मूर्ती,10912:मूर्ती:n:र्ती
mw:मृत्युहेतवे,166780:मृत्युहेतवे:n:युह्
pwg:मोर्वणी,62233:मोर्वणी:n:ओर्व्
shs:मौञ्चिबन्धन,32265:मौञ्चिबन्धन:n:चिब्
bhs:यशोत्तर,12436:यशोत्तर:n:शोत्
pw:याज्ञदत्त्या,90661:याज्ञदत्त्या:n:ञद्
bhs:युगोत्पाद,12497:युगोत्पाद:n:उगो
acc:रघुनाथदोक्षित,18862:रघुनाथदोक्षित:n:दोक्
pw:रघुनाथीय,91948:रघुनाथीय:n:थीय्,आथी
gra:रघुय्,7199:रघुय्:n:घुय्
gra:रयीय्,7309:रयीय्:n:यीय्
bur:रवीमि,14012:रवीमि:n:ईमि
pw:रसवतीस्तवार्थ,93007:रसवतीस्तवार्थ:n:ईस्त्
bur:रारम्भीमि,14086:रारम्भीमि:n:ईमि
mw72:रिच्यमान,39488:रिच्यमान:n:इच्य्
pw:रिषयध्यै,94258:रिषयध्यै:n:ध्यै
bur:रेरयीमि,14248:रेरयीमि:n:ईमि
