md:अकस्मादागन्तु,65:अकस्मादागन्तु:n:दाग्
vcp:कृत्यादूषणी,14721:कृत्यादूषणी:n:आदू
sch:कृदन्तवत्त्वबोधिनी,11178:कृदन्तवत्त्वबोधिनी:n:कृद्
acc:कृद्वृत्ति,4559:कृद्वृत्ति:n:कृद्
acc:कृष्णराजसार्वभौमाष्टोत्तरत्रिशती,4784:कृष्णराजसार्वभौमाष्टोत्तरत्रिशती:n:टोत्,ष्टो
acc:कृष्णराजसार्वभौमाष्टोत्तरशत,4785:कृष्णराजसार्वभौमाष्टोत्तरशत:n:टोत्,ष्टो
pui:कृष्णाङ्गमणिपुरीजकस्,3546:कृष्णाङ्गमणिपुरीजकस्:n:रीज्
acc:कोकिलाव्रतकथापूजाविधि,5083:कोकिलाव्रतकथापूजाविधि:n:जाव्
pui:क्रतुपुत्रस्,3763:क्रतुपुत्रस्:n:तुप्
bur:क्रील्,5260:क्रील्:n:रील्
acc:क्रीलिकोपनिषद्,5272:क्रीलिकोपनिषद्:n:रील्
mw:क्रोडा,58422:क्रोडा:n:ओडा
mw:क्षमालिङ्गात्मपीडावत्,59087:क्षमालिङ्गात्मपीडावत्:n:डाव्
skd:क्षीरपायी,9575:क्षीरपायी:n:आयी
acc:क्षीरिणीवनमाहात्म्य,5305:क्षीरिणीवनमाहात्म्य:n:णीव्
acc:क्षेत्रेशपूजन,5321:क्षेत्रेशपूजन:n:रेश्
ap90:क्षोत्रिय,11973:क्षोत्रिय:n:षोत्
cae:खगधिप,9007:खगधिप:n:खग्
bhs:खगानना,5416:खगानना:n:खग्
pwg:खगालिका,20770:खगालिका:n:खग्
sch:खडत्कृति,11795:खडत्कृति:n:डत्
mw:खण्डशोभू,61140.3:खण्डशोभू:n:ओभू
vcp:खसात्सज,16524:खसात्सज:n:खस्
pw:खसाल्मज,33671:खसाल्मज:n:खस्
mw:खादताचमता,61800:खादताचमता:n:ताच्
pw:खादताचामता,33739:खादताचामता:n:ताच्
mw:खार्दभीमुख,61876:खार्दभीमुख:n:ईमु
acc:गणेशतापिन्युपनिषद्,5696:गणेशतापिन्युपनिषद्:n:णेश्
acc:गणेशनामद्वादशस्तोत्र,5705:गणेशनामद्वादशस्तोत्र:n:णेश्
acc:गणेशनामाष्टशतक,5706:गणेशनामाष्टशतक:n:णेश्,टश्
acc:गणेशपञ्जरस्तोत्र,5709:गणेशपञ्जरस्तोत्र:n:णेश्
acc:गणेशब्रह्मविवेक,5714:गणेशब्रह्मविवेक:n:णेश्
acc:गणेशयन्त्रपूजा,5718:गणेशयन्त्रपूजा:n:णेश्
acc:गणेशलोकवर्णनादि,5720:गणेशलोकवर्णनादि:n:णेश्
acc:गणेशसहस्रनामव्याख्या,5723:गणेशसहस्रनामव्याख्या:n:णेश्
acc:गणेशाङ्कनिवासिनीप्रकरण,5729:गणेशाङ्कनिवासिनीप्रकरण:n:णेश्
acc:गणेशार्चनचन्द्रिका,5732:गणेशार्चनचन्द्रिका:n:णेश्
acc:गणेशार्चनदीपिका,5733:गणेशार्चनदीपिका:n:णेश्
acc:गणेशावतारवर्णन,5735:गणेशावतारवर्णन:n:णेश्
pgn:गणेश्वरवितालपुष्करिणी,444:गणेश्वरवितालपुष्करिणी:n:णेश्
acc:गण्डान्तादिदोषविचार,5751:गण्डान्तादिदोषविचार:n:इदो
ccs:गतिभड्ग,5995:गतिभड्ग:n:भड्
mw:गदाग्रपाणि,62901:गदाग्रपाणि:n:दाग्
wil:गन्धपिशात्रिका,13177:गन्धपिशात्रिका:n:धप्
bhs:गम्भीरेश्वर,5672:गम्भीरेश्वर:n:रेश्,ईरे
bur:गादयामि,5821:गादयामि:n:गाद्
mw:गादायन,64755:गादायन:n:गाद्
acc:गायत्रीशतमष्टोत्तरशतनामन्,32597:गायत्रीशतमष्टोत्तरशतनामन्:n:टोत्,रीश्,ष्टो
acc:गायत्र्यष्टोत्तर,5932:गायत्र्यष्टोत्तर:n:टोत्,ष्टो
acc:गायत्र्यष्टोत्तरशतदिव्यनामामृतस्तोत्र,5933:गायत्र्यष्टोत्तरशतदिव्यनामामृतस्तोत्र:n:टोत्,ष्टो
acc:गायत्र्यष्टोत्तरशतनामन्,5934:गायत्र्यष्टोत्तरशतनामन्:n:टोत्,ष्टो
acc:गिरिजाकमलाविवाद,5953:गिरिजाकमलाविवाद:n:जाक्
acc:गिरीशस्वामिमङ्गलाशासन,5967:गिरीशस्वामिमङ्गलाशासन:n:रीश्
bhs:गुणकेसरीश्वर,5745:गुणकेसरीश्वर:n:रीश्
bhs:गुणप्रभानोद्गत,5756:गुणप्रभानोद्गत:n:आनो
acc:गुरुदशकभुजङ्गस्तोत्र,6068:गुरुदशकभुजङ्गस्तोत्र:n:कभ्
acc:गुर्वष्टोत्तरशतनामन्,6133:गुर्वष्टोत्तरशतनामन्:n:टोत्,ष्टो
inm:गुह्यकाधिप,4288:गुह्यकाधिप:n:काध्
acc:गुह्यकाल्यष्टोत्तरशतनामन्,6137:गुह्यकाल्यष्टोत्तरशतनामन्:n:टोत्,ष्टो
