sch:अचन्द्रार्कग्रह,680:अचन्द्रार्कग्रह:n:कग्
acc:सार्वभौममतपरिष्कार,47807:सार्वभौममतपरिष्कार:n:अभौ
mci:सावित्रीपुत्रकाञ्चल,2581:सावित्रीपुत्रकाञ्चल:n:ईपु
acc:सिद्धान्तजाह्रवी,28091:सिद्धान्तजाह्रवी:n:आह्र्
mw:सुकुमारनखत्वच्,245463:सुकुमारनखत्वच्:n:खत्
sch:सुखावस्थ,26634:सुखावस्थ:n:खाव्
skd:सुधावर्षी,39447:सुधावर्षी:n:र्षी
bhs:सुपरिकर्षीकृत्य,16988:सुपरिकर्षीकृत्य:n:र्षी
acc:सुसिद्धान्तपुष्पावली,38799:सुसिद्धान्तपुष्पावली:n:उसि
acc:सुहलणभट्ट,28589:सुहलणभट्ट:n:णभ्
acc:सोमवत्यमावास्याव्रत,47960:सोमवत्यमावास्याव्रत:n:आव्र्
acc:सोमवारामावास्याव्रत,47964:सोमवारामावास्याव्रत:n:आव्र्
acc:सोमवाराव्रत,47962:सोमवाराव्रत:n:आव्र्
inm:सोमाश्रायायण,9979:सोमाश्रायायण:n:माश्
shs:स्त्रीपुमन्,45481:स्त्रीपुमन्:n:ईपु
mw:स्निग्धनखता,256332:स्निग्धनखता:n:खत्
bur:स्माशानिक,19335:स्माशानिक:n:माश्
mw:हमीपुर्य,260549:हमीपुर्य:n:ईपु
acc:हरिनामार्थतत्त्व,48136:हरिनामार्थतत्त्व:n:थत्
mw:हिंसाप्राणिप्रचुर,262750:हिंसाप्राणिप्रचुर:n:अचु
mw:हिन्दोली,262941:हिन्दोली:n:ओली
sch:हुदुका,27610:हुदुका:n:हुद्
pui:हैमभौमकस्,17482:हैमभौमकस्:n:अभौ
