acc:अक्षोभ्यतन्त्रे,41695:अक्षोभ्यतन्त्रे:n:ओभ्य्
pui:महाप्रकाशा,10388:महाप्रकाशा:n:हाप्
mw:महाप्रीतिवेगसम्भवमुद्रा,160128:महाप्रीतिवेगसम्भवमुद्रा:n:हाप्
acc:महावाक्यवृत्तिदीप,45593:महावाक्यवृत्तिदीप:n:इदी
mw:महेशितृ,161254:महेशितृ:n:हेश्
acc:मह्यादिदानप्रयोग,35654:मह्यादिदानप्रयोग:n:ह्या
acc:मागचन्द्रदेव,35655:मागचन्द्रदेव:n:गच्
pui:मातेयस्,10580:मातेयस्:n:आते
acc:मानसोपनिषद्,35714:मानसोपनिषद्:n:असो
mw:मान्धिलव,163044:मान्धिलव:n:धिल्
mw:मायोपजीविन्,163161:मायोपजीविन्:n:योप्
mw:मार्जिते,163532:मार्जिते:n:इते
pui:माहेश्वरधर्मस्,10758:माहेश्वरधर्मस्:n:हेश्
