shs:अक्षब्धु,187:अक्षब्धु:n:ब्धु
sch:दौधिकफल,15762:दौधिकफल:n:दौध्
vcp:दौस्त्र,26320:दौस्त्र:n:दौस्
sch:दौस्थित्य,15773:दौस्थित्य:n:दौस्
pw:दौस्थ्य,53144:दौस्थ्य:n:दौस्
sch:द्यूद्यान,15802:द्यूद्यान:n:यूद्
pui:द्रविडेश्वर,6397:द्रविडेश्वर:n:इडे
bur:द्वौध,9228:द्वौध:n:वौध्,द्वौ
bhs:धर्मज्वलनार्चिःसागरघोष,7737:धर्मज्वलनार्चिःसागरघोष:n:चिः
ccs:धर्मदृद्ध,10962:धर्मदृद्ध:n:दृद्
pw:धर्ममेघथ्यान,54823:धर्ममेघथ्यान:n:घथ्
bhs:धर्मार्चिःपर्वतकेतुराज,7861:धर्मार्चिःपर्वतकेतुराज:n:चिः
bhs:धर्मार्चिःसंतेजोराज,7865:धर्मार्चिःसंतेजोराज:n:चिः
pui:धृढनेमि,6697:धृढनेमि:n:धृढ्
pui:धृढसेन,6698:धृढसेन:n:धृढ्
pw:धृष्टद्मुम्न,55763:धृष्टद्मुम्न:n:द्मु
acc:नञ्जगूडुरामप्प,10973:नञ्जगूडुरामप्प:n:गूड्
bur:नभोडुह,9563:नभोडुह:n:भोड्
bhs:नवुत्पत्तिक,8113:नवुत्पत्तिक:n:अवु
pe:नाटोटिप्पाट्टु,4780:नाटोटिप्पाट्टु:n:प्पा
acc:नासदासीत्सूक्त,11749:नासदासीत्सूक्त:n:ईत्स्
pui:नासिख्यस्,7106:नासिख्यस्:n:सिख्
bur:निगूहे,9756:निगूहे:n:ऊहे
acc:नित्याराधनविधिटोका,34125:नित्याराधनविधिटोका:n:इटो
ccs:निदोशन,11975:निदोशन:n:दोश्
bur:निर्वृणज्मि,10046:निर्वृणज्मि:n:ज्मि
pui:निशिथा,7248:निशिथा:n:इथा
bhs:निस्ताडेति,8603:निस्ताडेति:n:डेत्
bur:निहृवये,10234:निहृवये:n:हृव्
cae:निह्वुत,17169:निह्वुत:n:ह्वु
cae:निह्वुति,17170:निह्वुति:n:ह्वु
sch:नीचैश्चर,17220:नीचैश्चर:n:चैश्
acc:नृसिंहृसरस्वती,12152:नृसिंहृसरस्वती:n:हृस्
acc:पञ्चमुखिहनुमत्कवच,34317:पञ्चमुखिहनुमत्कवच:n:खिह्
pe:पतिनेट्टरक्कवि,5103:पतिनेट्टरक्कवि:n:नेट्
acc:पद्यवेणो,31121:पद्यवेणो:n:एणो
ap90:पांचभैतिक,18582:पांचभैतिक:n:भैत्
vcp:पाठाड्यचूर्ण,31518:पाठाड्यचूर्ण:n:ठाड्
ccs:पितृह्वय,14348:पितृह्वय:n:ऋह्व्
pwg:पिपठिस्,45344:पिपठिस्:n:ठिस्
pui:पीप्पली,7949:पीप्पली:n:ईप्प्
pui:पुलोव,8128:पुलोव:n:लोव्
ccs:पुश्चलू,14458:पुश्चलू:n:पुश्
